episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,51.0,4.2,76,-2.7999999999999945,76,-2.7999999999999945,1.0000,0.99898,0.0000,64,1,1
2,53.4,0.8,21,1.95,97,-0.8499999999999945,1.0000,0.99869,0.0000,64,1,2
3,61.7,6.6,85,-7.250000000000026,182,-8.100000000000021,1.0000,0.99753,0.1831,64,1,3
4,65.4,2.1,7,2.6500000000000004,189,-5.450000000000021,1.0000,0.99744,0.3035,64,1,4
5,80.6,13.6,180,-23.000000000000096,369,-28.450000000000117,1.0000,0.99498,0.1260,64,0,4
6,94.0,11.8,180,-27.000000000000064,549,-55.45000000000018,1.0000,0.99253,0.0704,64,0,4
7,101.6,5.9,62,-2.09999999999999,611,-57.55000000000017,1.0000,0.99168,0.0675,64,1,5
8,115.7,12.6,180,-8.999999999999993,791,-66.55000000000015,1.0000,0.98923,0.0504,64,0,5
9,129.6,12.2,180,-17.000000000000025,971,-83.55000000000018,1.0000,0.98677,0.0429,64,0,5
10,143.3,12.1,180,-19.000000000000096,1151,-102.55000000000028,1.0000,0.98432,0.0381,64,0,5
11,157.0,12.1,180,-13.000000000000028,1331,-115.55000000000031,1.0000,0.98186,0.0350,64,0,5
12,171.0,12.4,180,-19.000000000000078,1511,-134.55000000000038,1.0000,0.97941,0.0329,64,0,5
13,184.5,11.7,156,-16.800000000000075,1667,-151.35000000000045,1.0000,0.97728,0.0325,64,1,6
14,192.6,6.4,70,-6.499999999999996,1737,-157.85000000000045,1.0000,0.97633,0.0343,64,1,7
15,206.7,12.5,180,-11.000000000000018,1917,-168.85000000000048,1.0000,0.97387,0.0295,64,0,7
16,210.4,2.2,8,2.6,1925,-166.25000000000048,1.0000,0.97376,0.0359,64,1,8
17,224.4,12.4,180,-19.000000000000057,2105,-185.25000000000054,1.0000,0.97131,0.0274,64,0,8
18,270.5,2.0,5,2.75,2110,-182.50000000000054,1.0000,0.97124,0.0275,64,1,9
19,277.3,5.1,54,-5.699999999999998,2164,-188.20000000000053,1.0000,0.97050,0.0295,64,1,10
20,285.5,6.6,77,-4.849999999999993,2241,-193.05000000000052,1.0000,0.96945,0.0258,64,1,11
21,299.7,12.5,180,-13.000000000000028,2421,-206.05000000000055,1.0000,0.96700,0.0247,64,0,11
22,313.4,12.1,180,-21.000000000000057,2601,-227.0500000000006,1.0000,0.96454,0.0221,64,0,11
23,327.5,12.5,180,-13.000000000000004,2781,-240.0500000000006,1.0000,0.96209,0.0212,64,0,11
24,341.7,12.6,180,-11.000000000000025,2961,-251.05000000000064,1.0000,0.95964,0.0202,64,0,11
25,353.7,10.3,128,-5.399999999999989,3089,-256.4500000000006,1.0000,0.95789,0.0192,64,1,12
26,367.2,11.9,180,-13.000000000000064,3269,-269.45000000000067,1.0000,0.95544,0.0196,64,0,12
27,381.1,12.2,180,-21.000000000000078,3449,-290.4500000000007,1.0000,0.95298,0.0204,64,0,12
28,394.9,12.2,180,-19.000000000000075,3629,-309.4500000000008,1.0000,0.95053,0.0204,64,0,12
29,408.9,12.4,160,-9.000000000000032,3789,-318.45000000000084,1.0000,0.94834,0.0203,64,1,13
30,423.2,12.6,163,-15.150000000000048,3952,-333.6000000000009,1.0000,0.94612,0.0191,64,1,14
31,426.6,1.8,3,2.85,3955,-330.75000000000085,1.0000,0.94608,0.0182,64,1,15
32,440.3,12.1,180,-15.000000000000064,4135,-345.7500000000009,1.0000,0.94363,0.0192,64,0,15
33,494.7,14.0,180,-17.000000000000107,4315,-362.750000000001,1.0000,0.94117,0.0194,64,0,15
34,508.7,12.4,180,-11.000000000000021,4495,-373.750000000001,1.0000,0.93872,0.0188,64,0,15
35,522.8,12.5,180,-11.000000000000028,4675,-384.750000000001,1.0000,0.93626,0.0176,64,0,15
36,536.5,12.1,180,-21.000000000000092,4855,-405.75000000000114,1.0000,0.93381,0.0182,64,0,15
37,550.2,12.1,180,-13.000000000000062,5035,-418.7500000000012,1.0000,0.93135,0.0173,64,0,15
38,564.0,12.1,180,-19.000000000000057,5215,-437.75000000000125,1.0000,0.92890,0.0181,64,0,15
39,577.7,12.1,180,-15.00000000000006,5395,-452.7500000000013,1.0000,0.92644,0.0162,64,0,15
40,583.1,3.8,34,-0.6999999999999984,5429,-453.4500000000013,1.0000,0.92598,0.0193,64,1,16
41,597.1,12.4,180,-17.00000000000001,5609,-470.4500000000013,1.0000,0.92353,0.0173,64,0,16
42,611.1,12.3,180,-11.000000000000028,5789,-481.4500000000013,1.0000,0.92107,0.0162,64,0,16
43,618.2,5.5,60,-7.999999999999996,5849,-489.4500000000013,1.0000,0.92025,0.0175,64,1,17
44,632.1,12.3,180,-15.000000000000098,6029,-504.4500000000014,1.0000,0.91780,0.0170,64,0,17
45,686.7,8.9,111,-12.550000000000033,6140,-517.0000000000015,1.0000,0.91629,0.0168,64,1,18
46,699.4,11.1,138,-11.900000000000045,6278,-528.9000000000016,1.0000,0.91440,0.0175,64,1,19
47,713.1,12.1,180,-19.00000000000006,6458,-547.9000000000017,1.0000,0.91195,0.0167,64,0,19
48,727.6,12.9,162,-5.099999999999979,6620,-553.0000000000017,1.0000,0.90974,0.0166,64,1,20
49,731.8,2.6,15,0.25000000000000133,6635,-552.7500000000017,1.0000,0.90953,0.0156,64,1,21
50,745.9,12.5,180,-15.000000000000057,6815,-567.7500000000018,1.0000,0.90708,0.0160,64,0,21
51,759.5,12.0,180,-21.00000000000007,6995,-588.7500000000019,1.0000,0.90463,0.0155,64,0,21
52,765.1,4.0,35,1.2499999999999993,7030,-587.5000000000019,1.0000,0.90415,0.0151,64,1,22
