episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,51.4,3.9,61,-2.049999999999997,61,-2.049999999999997,1.0000,0.99918,0.0000,64,1,1
2,63.1,10.1,180,-23.000000000000096,241,-25.050000000000093,1.0000,0.99673,0.1434,64,0,1
3,66.9,2.2,9,2.5500000000000003,250,-22.500000000000092,1.0000,0.99660,0.1405,64,1,2
4,81.0,12.4,180,-23.000000000000078,430,-45.50000000000017,1.0000,0.99415,0.1244,64,0,2
5,95.4,12.8,180,-15.000000000000028,610,-60.5000000000002,1.0000,0.99170,0.0713,64,0,2
6,109.6,12.6,180,-17.000000000000025,790,-77.50000000000023,1.0000,0.98924,0.0525,64,0,2
7,115.5,4.2,39,-2.949999999999994,829,-80.45000000000022,1.0000,0.98871,0.0486,64,1,3
8,130.6,13.5,170,-15.50000000000005,999,-95.95000000000027,1.0000,0.98639,0.0460,64,1,4
9,144.8,12.6,180,-15.000000000000057,1179,-110.95000000000033,1.0000,0.98394,0.0384,64,0,4
10,150.2,3.7,31,-0.5499999999999954,1210,-111.50000000000033,1.0000,0.98351,0.0414,64,1,5
11,163.8,12.0,180,-21.000000000000092,1390,-132.50000000000043,1.0000,0.98106,0.0353,64,0,5
12,178.2,12.7,180,-15.000000000000021,1570,-147.50000000000045,1.0000,0.97860,0.0299,64,0,5
13,184.8,5.0,52,-3.599999999999997,1622,-151.10000000000045,1.0000,0.97790,0.0290,64,1,6
14,198.2,11.8,148,-10.400000000000013,1770,-161.50000000000045,1.0000,0.97588,0.0305,64,1,7
15,212.5,12.6,180,-15.000000000000039,1950,-176.50000000000048,1.0000,0.97342,0.0287,64,0,7
16,226.7,12.5,180,-17.00000000000008,2130,-193.50000000000057,1.0000,0.97097,0.0255,64,0,7
17,283.6,12.5,180,-23.000000000000068,2310,-216.50000000000063,1.0000,0.96851,0.0262,64,0,7
18,297.7,12.5,180,-15.000000000000089,2490,-231.5000000000007,1.0000,0.96606,0.0236,64,0,7
19,304.7,5.4,54,-1.6999999999999984,2544,-233.2000000000007,1.0000,0.96532,0.0242,64,1,8
20,319.4,13.0,180,-8.999999999999993,2724,-242.2000000000007,1.0000,0.96287,0.0221,64,0,8
21,333.7,12.7,180,-11.000000000000025,2904,-253.20000000000073,1.0000,0.96041,0.0210,64,0,8
22,347.9,12.6,180,-17.00000000000003,3084,-270.2000000000007,1.0000,0.95796,0.0206,64,0,8
