episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,54.5,7.9,180,-15.00000000000006,180,-15.00000000000006,1.0000,0.99756,0.0799,64,0,0
2,59.8,3.7,30,1.4999999999999996,210,-13.50000000000006,1.0000,0.99715,0.1714,64,1,1
3,71.5,10.1,123,-7.150000000000008,333,-20.65000000000007,1.0000,0.99547,0.1094,64,1,2
4,85.3,12.2,180,-17.00000000000002,513,-37.65000000000009,1.0000,0.99302,0.0664,64,0,2
5,99.4,12.4,180,-15.00000000000006,693,-52.65000000000015,1.0000,0.99056,0.0494,64,0,2
6,113.1,12.0,180,-19.000000000000078,873,-71.65000000000023,1.0000,0.98811,0.0396,64,0,2
7,127.0,12.3,180,-19.000000000000092,1053,-90.65000000000032,1.0000,0.98565,0.0413,64,0,2
8,138.2,9.6,118,-10.90000000000002,1171,-101.55000000000034,1.0000,0.98405,0.0326,64,1,3
9,151.6,11.6,180,-25.000000000000107,1351,-126.55000000000044,1.0000,0.98159,0.0326,64,0,3
10,155.2,2.0,6,2.7,1357,-123.85000000000043,1.0000,0.98151,0.0221,64,1,4
11,169.2,12.4,180,-15.000000000000057,1537,-138.85000000000048,1.0000,0.97905,0.0290,64,0,4
12,183.1,12.2,180,-17.00000000000007,1717,-155.85000000000053,1.0000,0.97660,0.0273,64,0,4
13,196.8,12.1,180,-19.000000000000064,1897,-174.8500000000006,1.0000,0.97415,0.0243,64,0,4
14,210.6,12.1,180,-19.000000000000096,2077,-193.85000000000068,1.0000,0.97169,0.0248,64,0,4
15,258.5,6.6,47,0.6500000000000004,2124,-193.20000000000067,1.0000,0.97105,0.0242,64,1,5
16,262.1,1.9,4,2.8000000000000003,2128,-190.40000000000066,1.0000,0.97100,0.0276,64,1,6
17,276.2,12.5,180,-13.000000000000028,2308,-203.4000000000007,1.0000,0.96854,0.0214,64,0,6
18,284.9,7.1,80,-8.99999999999999,2388,-212.4000000000007,1.0000,0.96745,0.0215,64,1,7
19,298.4,11.9,180,-19.000000000000057,2568,-231.40000000000074,1.0000,0.96499,0.0202,64,0,7
20,311.1,11.1,135,-7.7499999999999885,2703,-239.15000000000074,1.0000,0.96315,0.0210,64,1,8
21,324.9,12.1,180,-19.00000000000002,2883,-258.1500000000008,1.0000,0.96070,0.0207,64,0,8
22,329.6,3.1,22,-0.0999999999999992,2905,-258.2500000000008,1.0000,0.96040,0.0174,64,1,9
23,336.5,5.2,54,-5.700000000000002,2959,-263.9500000000008,1.0000,0.95966,0.0219,64,1,10
24,350.5,12.4,180,-21.000000000000036,3139,-284.95000000000084,1.0000,0.95721,0.0197,64,0,10
25,364.4,12.3,180,-19.00000000000011,3319,-303.95000000000095,1.0000,0.95475,0.0200,64,0,10
26,378.5,12.5,180,-11.000000000000025,3499,-314.95000000000095,1.0000,0.95230,0.0178,64,0,10
27,384.6,4.5,42,-5.099999999999995,3541,-320.050000000001,1.0000,0.95173,0.0193,64,1,11
28,388.4,2.2,9,2.5500000000000003,3550,-317.50000000000097,1.0000,0.95160,0.0142,64,1,12
29,401.8,11.8,151,-18.55000000000007,3701,-336.05000000000103,1.0000,0.94954,0.0188,64,1,13
30,416.1,12.6,180,-13.000000000000021,3881,-349.05000000000103,1.0000,0.94709,0.0183,64,0,13
31,430.1,12.4,180,-11.00000000000001,4061,-360.05000000000103,1.0000,0.94464,0.0176,64,0,13
32,486.1,12.4,180,-17.00000000000005,4241,-377.0500000000011,1.0000,0.94218,0.0171,64,0,13
33,493.8,6.0,89,-7.449999999999998,4330,-384.5000000000011,1.0000,0.94097,0.0151,64,1,14
34,509.6,14.2,180,-11.000000000000023,4510,-395.5000000000011,1.0000,0.93851,0.0171,64,0,14
35,523.7,12.4,180,-13.00000000000006,4690,-408.50000000000114,1.0000,0.93606,0.0158,64,0,14
36,527.7,2.4,12,0.40000000000000124,4702,-408.10000000000116,1.0000,0.93589,0.0149,64,1,15
37,542.0,12.7,180,-13.000000000000028,4882,-421.10000000000116,1.0000,0.93344,0.0155,64,0,15
38,556.5,12.8,180,-15.000000000000092,5062,-436.1000000000013,1.0000,0.93099,0.0158,64,0,15
39,559.2,1.0,16,-1.799999999999998,5078,-437.9000000000013,1.0000,0.93077,0.0155,64,1,16
40,575.0,14.2,180,-13.000000000000059,5258,-450.90000000000134,1.0000,0.92831,0.0153,64,0,16
41,588.6,12.0,180,-23.000000000000096,5438,-473.90000000000146,1.0000,0.92586,0.0163,64,0,16
42,602.8,12.5,180,-15.000000000000085,5618,-488.90000000000157,1.0000,0.92340,0.0158,64,0,16
43,607.4,3.0,44,0.7999999999999998,5662,-488.10000000000156,1.0000,0.92280,0.0148,64,1,17
44,620.8,11.8,146,-6.299999999999986,5808,-494.40000000000157,1.0000,0.92081,0.0158,64,1,18
45,636.3,13.8,180,-23.000000000000064,5988,-517.4000000000017,1.0000,0.91836,0.0162,64,0,18
46,639.7,1.8,2,2.9000000000000004,5990,-514.5000000000017,1.0000,0.91833,0.0454,64,1,19
47,643.8,2.4,13,2.35,6003,-512.1500000000017,1.0000,0.91815,0.0156,64,1,20
48,696.1,13.8,180,-19.000000000000057,6183,-531.1500000000017,1.0000,0.91570,0.0164,64,0,20
49,704.8,7.0,78,-6.900000000000021,6261,-538.0500000000017,1.0000,0.91464,0.0153,64,1,21
50,718.7,12.2,156,-10.80000000000004,6417,-548.8500000000017,1.0000,0.91251,0.0153,64,1,22
51,732.8,12.5,180,-13.000000000000059,6597,-561.8500000000018,1.0000,0.91005,0.0149,64,0,22
52,736.3,1.8,3,2.85,6600,-559.0000000000018,1.0000,0.91001,0.0105,64,1,23
53,750.3,12.4,180,-21.000000000000018,6780,-580.0000000000018,1.0000,0.90756,0.0156,64,0,23
54,764.2,12.3,180,-17.00000000000002,6960,-597.0000000000018,1.0000,0.90510,0.0147,64,0,23
55,769.8,4.0,35,-4.749999999999994,6995,-601.7500000000018,1.0000,0.90463,0.0169,64,1,24
56,780.2,8.7,107,-10.350000000000012,7102,-612.1000000000018,1.0000,0.90317,0.0144,64,1,25
57,794.1,12.2,158,-10.900000000000041,7260,-623.0000000000019,1.0000,0.90101,0.0153,64,1,26
58,807.9,12.2,180,-21.00000000000009,7440,-644.000000000002,1.0000,0.89856,0.0155,64,0,26
59,815.5,6.0,64,-2.1999999999999895,7504,-646.2000000000021,1.0000,0.89768,0.0158,64,1,27
60,829.5,12.3,180,-13.000000000000028,7684,-659.2000000000021,1.0000,0.89523,0.0150,64,0,27
61,843.5,12.4,180,-21.000000000000096,7864,-680.2000000000022,1.0000,0.89278,0.0152,64,0,27
62,857.7,12.6,180,-13.000000000000044,8044,-693.2000000000022,1.0000,0.89032,0.0147,64,0,27
63,917.8,12.6,180,-8.999999999999993,8224,-702.2000000000022,1.0000,0.88787,0.0134,64,0,27
64,926.4,7.0,82,-13.100000000000023,8306,-715.3000000000022,1.0000,0.88675,0.0144,64,1,28
65,931.2,3.2,24,-2.1999999999999984,8330,-717.5000000000023,1.0000,0.88642,0.0158,64,1,29
66,945.5,12.7,180,-13.000000000000039,8510,-730.5000000000023,1.0000,0.88397,0.0137,64,0,29
67,959.2,12.1,180,-17.00000000000003,8690,-747.5000000000023,1.0000,0.88151,0.0139,64,0,29
68,973.2,12.3,180,-17.000000000000064,8870,-764.5000000000024,1.0000,0.87906,0.0143,64,0,29
69,987.0,12.2,180,-11.000000000000028,9050,-775.5000000000024,1.0000,0.87660,0.0143,64,0,29
70,1000.9,12.2,180,-21.000000000000078,9230,-796.5000000000025,1.0000,0.87415,0.0142,64,0,29
71,1014.7,12.2,180,-17.000000000000092,9410,-813.5000000000026,1.0000,0.87169,0.0140,64,0,29
72,1029.7,13.3,172,-9.600000000000016,9582,-823.1000000000026,1.0000,0.86935,0.0138,64,1,30
73,1043.4,12.1,180,-21.000000000000092,9762,-844.1000000000028,1.0000,0.86689,0.0132,64,0,30
74,1057.0,12.0,180,-21.000000000000068,9942,-865.1000000000029,1.0000,0.86444,0.0141,64,0,30
75,1060.8,2.2,8,0.6000000000000005,9950,-864.5000000000028,1.0000,0.86433,0.0200,64,1,31
76,1074.4,12.0,180,-23.000000000000092,10130,-887.500000000003,1.0000,0.86188,0.0433,64,0,31
77,1128.9,12.6,180,-15.00000000000005,10310,-902.500000000003,1.0000,0.85942,0.0391,64,0,31
78,1143.1,12.5,180,-10.999999999999996,10490,-913.500000000003,1.0000,0.85697,0.0315,64,0,31
79,1157.2,12.5,180,-8.999999999999993,10670,-922.500000000003,1.0000,0.85451,0.0284,64,0,31
80,1166.0,7.1,85,-9.250000000000021,10755,-931.750000000003,1.0000,0.85335,0.0250,64,1,32
