episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,52.1,3.9,60,-1.9999999999999973,60,-1.9999999999999973,1.0000,0.99920,0.0000,64,1,1
2,56.7,2.9,34,3.299999999999999,94,1.3000000000000016,1.0000,0.99873,0.0000,64,1,2
3,69.3,10.9,180,-11.000000000000028,274,-9.700000000000028,1.0000,0.99628,0.1558,64,0,2
4,83.5,12.4,180,-6.999999999999983,454,-16.70000000000001,1.0000,0.99382,0.1099,64,0,2
5,90.6,5.4,55,0.250000000000008,509,-16.450000000000003,1.0000,0.99307,0.0738,64,1,3
6,104.7,12.4,180,-2.9999999999999982,689,-19.450000000000003,1.0000,0.99062,0.0585,64,0,3
7,118.5,12.0,180,-6.999999999999989,869,-26.449999999999992,1.0000,0.98816,0.0452,64,0,3
8,128.5,8.3,100,4.440892098500626e-15,969,-26.44999999999999,1.0000,0.98680,0.0443,64,1,4
9,143.0,12.8,180,-6.999999999999976,1149,-33.44999999999997,1.0000,0.98435,0.0373,64,0,4
10,156.7,12.0,180,-9.0,1329,-42.44999999999997,1.0000,0.98189,0.0360,64,0,4
11,170.8,12.4,180,-8.999999999999993,1509,-51.44999999999996,1.0000,0.97944,0.0328,64,0,4
12,175.9,3.3,49,2.549999999999999,1558,-48.89999999999996,1.0000,0.97877,0.0321,64,1,5
13,181.4,3.8,5,2.75,1563,-46.14999999999996,1.0000,0.97870,0.0385,64,1,6
14,196.6,13.5,174,-7.699999999999988,1737,-53.84999999999995,1.0000,0.97633,0.0295,64,1,7
15,210.8,12.5,180,-9.0,1917,-62.84999999999995,1.0000,0.97387,0.0258,64,0,7
16,225.1,12.5,180,-4.9999999999999885,2097,-67.84999999999994,1.0000,0.97142,0.0238,64,0,7
17,272.5,2.0,4,2.8000000000000003,2101,-65.04999999999994,1.0000,0.97136,0.0405,64,1,8
18,277.5,3.3,24,3.7999999999999994,2125,-61.24999999999994,1.0000,0.97104,0.0228,64,1,9
19,289.1,9.9,118,-0.9000000000000004,2243,-62.14999999999994,1.0000,0.96943,0.0225,64,1,10
20,296.7,5.9,61,-0.04999999999999272,2304,-62.19999999999993,1.0000,0.96859,0.0276,64,1,11
21,301.8,3.4,26,5.700000000000001,2330,-56.49999999999993,1.0000,0.96824,0.0234,64,1,12
22,315.7,12.3,180,-13.000000000000046,2510,-69.49999999999997,1.0000,0.96579,0.0231,64,0,12
23,329.7,12.2,180,-6.999999999999995,2690,-76.49999999999997,1.0000,0.96333,0.0226,64,0,12
24,343.5,12.1,180,-9.000000000000027,2870,-85.5,1.0000,0.96088,0.0232,64,0,12
25,347.5,2.3,9,2.5500000000000003,2879,-82.95,1.0000,0.96075,0.0270,64,1,13
26,361.3,12.1,180,-11.000000000000021,3059,-93.95000000000002,1.0000,0.95830,0.0219,64,0,13
27,367.7,4.6,41,0.9499999999999993,3100,-93.00000000000001,1.0000,0.95774,0.0200,64,1,14
28,382.1,12.8,180,-6.999999999999982,3280,-100.0,1.0000,0.95529,0.0198,64,0,14
29,396.2,12.4,180,-6.999999999999997,3460,-107.0,1.0000,0.95283,0.0193,64,0,14
30,404.5,6.5,70,1.499999999999999,3530,-105.5,1.0000,0.95188,0.0191,64,1,15
31,412.6,6.5,70,-8.499999999999996,3600,-114.0,1.0000,0.95092,0.0204,64,1,16
32,425.9,11.6,143,-6.149999999999994,3743,-120.14999999999999,1.0000,0.94897,0.0213,64,1,17
33,439.4,11.8,147,-4.349999999999997,3890,-124.49999999999999,1.0000,0.94697,0.0185,64,1,18
34,453.7,12.5,180,-4.999999999999985,4070,-129.49999999999997,1.0000,0.94451,0.0185,64,0,18
35,507.2,12.4,180,-6.999999999999976,4250,-136.49999999999994,1.0000,0.94206,0.0181,64,0,18
36,521.4,12.4,180,-11.000000000000059,4430,-147.5,1.0000,0.93960,0.0183,64,0,18
37,535.8,12.8,159,-8.950000000000049,4589,-156.45000000000005,1.0000,0.93744,0.0173,64,1,19
38,549.9,12.3,180,-8.999999999999996,4769,-165.45000000000005,1.0000,0.93498,0.0171,64,0,19
39,564.4,12.7,180,-8.999999999999993,4949,-174.45000000000005,1.0000,0.93253,0.0170,64,0,19
40,569.0,2.9,18,4.1,4967,-170.35000000000005,1.0000,0.93228,0.0169,64,1,20
41,576.4,5.7,57,-1.8499999999999979,5024,-172.20000000000005,1.0000,0.93150,0.0149,64,1,21
42,590.4,12.4,180,-6.999999999999982,5204,-179.20000000000002,1.0000,0.92905,0.0174,64,0,21
43,604.8,12.7,180,-11.000000000000028,5384,-190.20000000000005,1.0000,0.92659,0.0153,64,0,21
44,616.3,9.8,117,-4.849999999999989,5501,-195.05000000000004,1.0000,0.92500,0.0157,64,1,22
45,630.1,12.0,148,-6.40000000000001,5649,-201.45000000000005,1.0000,0.92298,0.0185,64,1,23
46,644.3,12.5,180,-6.999999999999984,5829,-208.45000000000002,1.0000,0.92053,0.0164,64,0,23
47,650.1,4.0,58,-1.8999999999999906,5887,-210.35,1.0000,0.91974,0.0144,64,1,24
48,663.2,11.5,113,-6.649999999999992,6000,-217.0,1.0000,0.91819,0.0158,64,1,25
49,671.0,6.0,61,1.9499999999999993,6061,-215.05,1.0000,0.91736,0.0155,64,1,26
50,721.8,14.0,180,-2.999999999999994,6241,-218.05,1.0000,0.91491,0.0152,64,0,26
51,736.0,12.5,180,-11.000000000000028,6421,-229.05000000000004,1.0000,0.91245,0.0155,64,0,26
52,750.3,12.6,180,-11.000000000000007,6601,-240.05000000000004,1.0000,0.91000,0.0152,64,0,26
53,764.7,12.7,180,-6.999999999999974,6781,-247.05,1.0000,0.90754,0.0154,64,0,26
54,771.5,5.0,52,-3.5999999999999996,6833,-250.65,1.0000,0.90683,0.0163,64,1,27
55,783.3,10.0,123,0.8500000000000076,6956,-249.8,1.0000,0.90516,0.0157,64,1,28
56,797.6,12.6,180,-11.000000000000021,7136,-260.8,1.0000,0.90270,0.0166,64,0,28
57,811.7,12.4,180,-6.999999999999976,7316,-267.8,1.0000,0.90025,0.0156,64,0,28
58,825.6,12.1,180,-11.000000000000046,7496,-278.80000000000007,1.0000,0.89779,0.0161,64,0,28
59,839.9,12.5,180,-11.00000000000003,7676,-289.8000000000001,1.0000,0.89534,0.0167,64,0,28
60,843.7,2.2,7,4.65,7683,-285.15000000000015,1.0000,0.89524,0.0153,64,1,29
61,849.4,3.9,32,1.3999999999999995,7715,-283.75000000000017,1.0000,0.89481,0.0162,64,1,30
62,853.4,2.3,9,4.55,7724,-279.20000000000016,1.0000,0.89468,0.0127,64,1,31
63,867.6,12.5,180,-6.999999999999976,7904,-286.20000000000016,1.0000,0.89223,0.0166,64,0,31
64,881.8,12.5,180,-8.999999999999986,8084,-295.20000000000016,1.0000,0.88978,0.0161,64,0,31
65,933.7,12.3,148,-4.399999999999982,8232,-299.60000000000014,1.0000,0.88776,0.0170,64,1,32
66,948.2,12.8,180,-8.999999999999993,8412,-308.60000000000014,1.0000,0.88530,0.0140,64,0,32
67,962.2,12.3,180,-15.000000000000057,8592,-323.6000000000002,1.0000,0.88285,0.0135,64,0,32
68,976.3,12.4,180,-9.000000000000009,8772,-332.6000000000002,1.0000,0.88039,0.0157,64,0,32
69,990.1,12.0,180,-13.000000000000083,8952,-345.60000000000025,1.0000,0.87794,0.0151,64,0,32
70,1004.3,12.5,180,-6.999999999999984,9132,-352.60000000000025,1.0000,0.87548,0.0150,64,0,32
71,1010.1,4.1,33,1.3499999999999994,9165,-351.2500000000002,1.0000,0.87503,0.0149,64,1,33
72,1024.4,12.6,180,-2.9999999999999805,9345,-354.2500000000002,1.0000,0.87258,0.0144,64,0,33
73,1038.6,12.5,180,-11.000000000000062,9525,-365.2500000000003,1.0000,0.87013,0.0141,64,0,33
74,1048.9,8.5,99,-1.9499999999999886,9624,-367.2000000000003,1.0000,0.86878,0.0162,64,1,34
75,1061.7,11.1,139,0.050000000000003375,9763,-367.15000000000026,1.0000,0.86688,0.0138,64,1,35
76,1076.0,12.6,180,-11.000000000000021,9943,-378.15000000000026,1.0000,0.86443,0.0140,64,0,35
77,1090.2,12.5,180,-8.999999999999993,10123,-387.15000000000026,1.0000,0.86197,0.0468,64,0,35
78,1143.7,12.4,180,-6.999999999999976,10303,-394.15000000000026,1.0000,0.85952,0.0449,64,0,35
79,1157.8,12.4,180,-8.999999999999996,10483,-403.15000000000026,1.0000,0.85706,0.0375,64,0,35
80,1161.8,2.4,10,2.5,10493,-400.65000000000026,1.0000,0.85693,0.0386,64,1,36
81,1176.3,12.7,180,-4.999999999999992,10673,-405.65000000000026,1.0000,0.85447,0.0318,64,0,36
82,1190.2,12.2,180,-6.999999999999988,10853,-412.65000000000026,1.0000,0.85202,0.0296,64,0,36
83,1204.2,12.3,180,-8.999999999999993,11033,-421.65000000000026,1.0000,0.84956,0.0263,64,0,36
