episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,47.3,8.3,180,-8.999999999999993,180,-8.999999999999993,1.0000,0.99756,0.0834,64,0,0
2,61.1,12.2,180,-8.999999999999993,360,-17.999999999999986,1.0000,0.99510,0.1103,64,0,0
3,69.8,7.2,86,-1.2999999999999927,446,-19.29999999999998,1.0000,0.99393,0.0647,64,1,1
4,75.8,4.4,42,0.8999999999999995,488,-18.39999999999998,1.0000,0.99336,0.0489,64,1,2
5,89.7,12.3,180,-8.999999999999993,668,-27.399999999999974,1.0000,0.99090,0.0484,64,0,2
6,103.3,12.0,180,-8.999999999999993,848,-36.39999999999996,1.0000,0.98845,0.0396,64,0,2
7,116.9,12.0,180,-8.999999999999993,1028,-45.399999999999956,1.0000,0.98600,0.0348,64,0,2
8,121.8,3.4,30,1.4999999999999996,1058,-43.899999999999956,1.0000,0.98559,0.0357,64,1,3
9,126.7,3.3,29,1.5499999999999996,1087,-42.34999999999996,1.0000,0.98519,0.0319,64,1,4
10,140.3,12.0,180,-8.999999999999993,1267,-51.34999999999995,1.0000,0.98274,0.0296,64,0,4
11,144.9,3.1,23,1.8499999999999999,1290,-49.49999999999995,1.0000,0.98242,0.0274,64,1,5
12,150.2,3.8,32,1.3999999999999995,1322,-48.09999999999995,1.0000,0.98199,0.0256,64,1,6
13,153.5,1.8,3,2.85,1325,-45.24999999999995,1.0000,0.98195,0.0135,64,1,7
14,167.3,12.2,180,-8.999999999999993,1505,-54.24999999999994,1.0000,0.97949,0.0268,64,0,7
15,181.2,12.3,180,-8.999999999999993,1685,-63.249999999999936,1.0000,0.97704,0.0241,64,0,7
16,186.9,4.1,38,1.0999999999999992,1723,-62.149999999999935,1.0000,0.97652,0.0207,64,1,8
17,200.9,12.4,180,-8.999999999999993,1903,-71.14999999999992,1.0000,0.97406,0.0230,64,0,8
18,214.6,12.1,180,-8.999999999999993,2083,-80.14999999999992,1.0000,0.97161,0.0212,64,0,8
19,267.5,13.4,180,-8.999999999999993,2263,-89.14999999999992,1.0000,0.96915,0.0208,64,0,8
20,281.3,12.3,180,-8.999999999999993,2443,-98.14999999999992,1.0000,0.96670,0.0218,64,0,8
21,292.9,10.1,126,-3.2999999999999856,2569,-101.4499999999999,1.0000,0.96498,0.0214,64,1,9
22,307.0,12.5,180,-8.999999999999993,2749,-110.4499999999999,1.0000,0.96253,0.0193,64,0,9
23,320.3,11.8,180,-8.999999999999993,2929,-119.4499999999999,1.0000,0.96007,0.0180,64,0,9
24,335.2,13.4,174,-5.699999999999988,3103,-125.14999999999989,1.0000,0.95770,0.0197,64,1,10
25,347.7,10.9,142,-4.099999999999983,3245,-129.2499999999999,1.0000,0.95576,0.0205,64,1,11
26,361.1,11.9,180,-8.999999999999993,3425,-138.2499999999999,1.0000,0.95331,0.0180,64,0,11
27,374.8,12.1,180,-8.999999999999993,3605,-147.2499999999999,1.0000,0.95085,0.0183,64,0,11
28,378.1,1.8,3,2.85,3608,-144.3999999999999,1.0000,0.95081,0.0168,64,1,12
29,389.8,10.2,125,-3.249999999999986,3733,-147.64999999999986,1.0000,0.94911,0.0177,64,1,13
30,395.7,4.3,45,0.75,3778,-146.89999999999986,1.0000,0.94849,0.0185,64,1,14
31,409.5,12.3,180,-8.999999999999993,3958,-155.89999999999986,1.0000,0.94604,0.0177,64,0,14
32,422.8,11.8,180,-8.999999999999993,4138,-164.89999999999986,1.0000,0.94359,0.0167,64,0,14
33,474.8,11.3,145,-4.249999999999982,4283,-169.14999999999984,1.0000,0.94161,0.0189,64,1,15
34,488.6,12.2,180,-8.999999999999993,4463,-178.14999999999984,1.0000,0.93915,0.0167,64,0,15
35,493.9,3.7,36,1.1999999999999993,4499,-176.94999999999985,1.0000,0.93866,0.0158,64,1,16
36,507.2,11.8,180,-8.999999999999993,4679,-185.94999999999985,1.0000,0.93621,0.0163,64,0,16
37,513.9,5.1,57,0.15000000000000213,4736,-185.79999999999984,1.0000,0.93543,0.0176,64,1,17
38,527.2,11.7,180,-8.999999999999993,4916,-194.79999999999984,1.0000,0.93298,0.0153,64,0,17
39,541.1,12.4,180,-8.999999999999993,5096,-203.79999999999984,1.0000,0.93052,0.0147,64,0,17
40,554.9,12.2,180,-8.999999999999993,5276,-212.79999999999984,1.0000,0.92807,0.0153,64,0,17
41,562.9,6.4,93,-1.6499999999999915,5369,-214.44999999999982,1.0000,0.92680,0.0159,64,1,18
42,578.0,13.6,180,-8.999999999999993,5549,-223.44999999999982,1.0000,0.92434,0.0151,64,0,18
43,590.4,10.8,137,-3.8499999999999837,5686,-227.2999999999998,1.0000,0.92248,0.0149,64,1,19
44,604.1,12.2,180,-8.999999999999993,5866,-236.2999999999998,1.0000,0.92002,0.0138,64,0,19
45,616.6,10.9,137,-3.8499999999999837,6003,-240.1499999999998,1.0000,0.91815,0.0136,64,1,20
46,658.6,3.8,9,2.5500000000000003,6012,-237.5999999999998,1.0000,0.91803,0.0194,64,1,21
47,660.9,0.7,11,2.45,6023,-235.1499999999998,1.0000,0.91788,0.0129,64,1,22
