episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
1,52.4,10.3,180,11.820000000000094,180,11.820000000000094,100.0000,0.99756,0.1005,64
2,66.2,12.2,180,7.820000000000012,360,19.640000000000107,100.0000,0.99510,0.1442,64
3,68.2,0.4,6,8.994000000000002,366,28.634000000000107,100.0000,0.99502,0.1159,64
4,73.2,3.5,28,0.972,394,29.60600000000011,100.0000,0.99464,0.1075,64
5,88.3,13.6,180,19.819999999999972,574,49.42600000000008,100.0000,0.99219,0.0950,64
6,91.8,1.9,6,0.994,580,50.42000000000008,100.0000,0.99210,0.0894,64
7,105.2,11.8,180,19.820000000000046,760,70.24000000000012,100.0000,0.98965,0.0981,64
8,114.6,7.9,94,8.90599999999999,854,79.14600000000011,100.0000,0.98837,0.0713,64
9,116.4,0.3,4,0.996,858,80.14200000000011,100.0000,0.98831,0.0326,64
10,125.2,7.2,60,12.939999999999984,918,93.0820000000001,100.0000,0.98750,0.0756,64
11,138.8,12.0,180,23.820000000000032,1098,116.90200000000013,100.0000,0.98504,0.0703,64
12,152.4,12.1,180,27.819999999999848,1278,144.72199999999998,100.0000,0.98259,0.0567,64
13,166.2,12.3,180,7.819999999999984,1458,152.54199999999997,100.0000,0.98013,0.0446,64
14,179.6,11.9,180,11.820000000000023,1638,164.362,100.0000,0.97768,0.0437,64
15,193.2,12.0,157,12.84300000000004,1795,177.20500000000004,100.0000,0.97554,0.0423,64
16,207.1,12.3,180,3.8200000000000074,1975,181.02500000000003,100.0000,0.97308,0.0369,64
17,220.6,12.0,180,19.81999999999994,2155,200.84499999999997,100.0000,0.97063,0.0361,64
18,266.9,7.9,75,16.925000000000008,2230,217.76999999999998,100.0000,0.96960,0.0410,64
19,280.6,12.2,180,11.820000000000073,2410,229.59000000000006,100.0000,0.96715,0.0412,64
20,294.1,11.9,180,15.820000000000036,2590,245.41000000000008,100.0000,0.96469,0.0363,64
21,304.7,9.0,107,0.8929999999999999,2697,246.30300000000008,100.0000,0.96324,0.0356,64
22,318.6,12.4,180,-0.18000000000000013,2877,246.12300000000008,100.0000,0.96078,0.0293,64
23,332.1,12.0,180,11.820000000000045,3057,257.9430000000001,100.0000,0.95833,0.0266,64
24,345.8,12.1,180,15.820000000000068,3237,273.76300000000015,100.0000,0.95587,0.0281,64
25,359.4,12.0,180,15.820000000000032,3417,289.5830000000002,100.0000,0.95342,0.0266,64
26,373.3,12.3,180,7.819999999999993,3597,297.4030000000002,100.0000,0.95096,0.0270,64
27,384.7,9.9,125,4.875000000000007,3722,302.2780000000002,100.0000,0.94926,0.0254,64
28,398.4,12.2,180,27.819999999999848,3902,330.098,100.0000,0.94680,0.0307,64
29,411.9,11.9,180,23.820000000000057,4082,353.91800000000006,100.0000,0.94435,0.0280,64
