episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,56.5,7.7,180,-11.000000000000021,180,-11.000000000000021,1.0000,0.99756,0.0897,64,0,0
2,58.4,0.3,4,4.8,184,-6.2000000000000215,1.0000,0.99750,0.1207,64,1,1
3,74.1,14.0,180,-6.999999999999974,364,-13.199999999999996,1.0000,0.99505,0.1396,64,0,1
4,87.4,11.5,147,-6.350000000000006,511,-19.55,1.0000,0.99305,0.0769,64,1,2
5,101.8,12.7,180,-13.000000000000096,691,-32.5500000000001,1.0000,0.99059,0.0570,64,0,2
6,115.6,12.1,180,-6.999999999999989,871,-39.55000000000008,1.0000,0.98814,0.0529,64,0,2
7,128.1,10.8,135,-1.749999999999977,1006,-41.30000000000006,1.0000,0.98630,0.0418,64,1,3
8,142.1,12.3,180,-13.000000000000028,1186,-54.30000000000009,1.0000,0.98384,0.0392,64,0,3
9,148.1,4.3,64,-0.19999999999999218,1250,-54.500000000000085,1.0000,0.98297,0.0380,64,1,4
10,154.1,4.3,14,0.3000000000000016,1264,-54.20000000000008,1.0000,0.98278,0.0272,64,1,5
11,168.2,12.3,180,-13.000000000000057,1444,-67.20000000000013,1.0000,0.98032,0.0335,64,0,5
12,182.1,12.2,180,-4.99999999999998,1624,-72.20000000000012,1.0000,0.97787,0.0286,64,0,5
13,186.2,2.4,11,0.4500000000000006,1635,-71.75000000000011,1.0000,0.97772,0.0235,64,1,6
14,199.0,11.0,134,0.30000000000001537,1769,-71.4500000000001,1.0000,0.97589,0.0302,64,1,7
15,204.9,4.2,38,7.1,1807,-64.35000000000011,1.0000,0.97537,0.0242,64,1,8
16,218.9,12.3,153,-6.649999999999982,1960,-71.00000000000009,1.0000,0.97329,0.0262,64,1,9
17,233.2,12.5,180,-15.000000000000014,2140,-86.0000000000001,1.0000,0.97083,0.0238,64,0,9
18,289.0,12.6,180,-13.000000000000046,2320,-99.00000000000014,1.0000,0.96838,0.0235,64,0,9
19,292.6,1.8,2,2.9000000000000004,2322,-96.10000000000014,1.0000,0.96835,0.0137,64,1,10
20,298.3,4.0,34,1.2999999999999994,2356,-94.80000000000014,1.0000,0.96789,0.0246,64,1,11
21,312.6,12.7,160,-4.999999999999984,2516,-99.80000000000013,1.0000,0.96570,0.0230,64,1,12
22,320.0,5.7,61,1.950000000000002,2577,-97.85000000000012,1.0000,0.96487,0.0228,64,1,13
23,334.2,12.5,180,-4.999999999999983,2757,-102.85000000000011,1.0000,0.96242,0.0241,64,0,13
24,348.6,12.7,180,-6.999999999999984,2937,-109.8500000000001,1.0000,0.95996,0.0223,64,0,13
25,362.7,12.4,180,-6.999999999999985,3117,-116.85000000000008,1.0000,0.95751,0.0206,64,0,13
26,374.3,9.8,118,-8.900000000000016,3235,-125.7500000000001,1.0000,0.95590,0.0189,64,1,14
27,378.4,2.4,10,2.5,3245,-123.2500000000001,1.0000,0.95576,0.0157,64,1,15
28,381.3,1.2,19,2.0500000000000016,3264,-121.2000000000001,1.0000,0.95550,0.0191,64,1,16
29,390.6,7.7,62,-2.0999999999999908,3326,-123.3000000000001,1.0000,0.95466,0.0204,64,1,17
30,394.9,2.5,13,4.3500000000000005,3339,-118.9500000000001,1.0000,0.95448,0.0229,64,1,18
31,409.2,12.6,180,-11.000000000000036,3519,-129.95000000000013,1.0000,0.95203,0.0188,64,0,18
32,423.7,12.8,180,-8.999999999999993,3699,-138.95000000000013,1.0000,0.94957,0.0193,64,0,18
33,437.5,12.1,149,-6.450000000000002,3848,-145.40000000000012,1.0000,0.94754,0.0198,64,1,19
34,448.7,9.4,112,-0.5999999999999961,3960,-146.0000000000001,1.0000,0.94601,0.0179,64,1,20
35,463.0,12.6,180,-11.000000000000023,4140,-157.00000000000014,1.0000,0.94356,0.0170,64,0,20
36,525.1,14.1,180,-13.000000000000092,4320,-170.00000000000023,1.0000,0.94110,0.0172,64,0,20
37,539.2,12.4,180,-15.000000000000057,4500,-185.00000000000028,1.0000,0.93865,0.0174,64,0,20
38,547.2,6.3,67,-2.349999999999996,4567,-187.35000000000028,1.0000,0.93774,0.0169,64,1,21
39,561.1,12.1,180,-0.9999999999999997,4747,-188.35000000000028,1.0000,0.93528,0.0171,64,0,21
40,567.2,4.5,42,2.8999999999999995,4789,-185.45000000000027,1.0000,0.93471,0.0175,64,1,22
41,579.4,10.5,130,-1.4999999999999893,4919,-186.95000000000027,1.0000,0.93294,0.0182,64,1,23
42,593.6,12.5,180,-4.999999999999985,5099,-191.95000000000024,1.0000,0.93048,0.0168,64,0,23
43,605.4,10.0,119,-0.9499999999999869,5218,-192.90000000000023,1.0000,0.92886,0.0156,64,1,24
44,616.1,9.0,103,-0.1499999999999977,5321,-193.05000000000024,1.0000,0.92745,0.0158,64,1,25
45,625.6,7.9,92,0.3999999999999986,5413,-192.65000000000023,1.0000,0.92620,0.0166,64,1,26
46,629.4,2.0,5,2.75,5418,-189.90000000000023,1.0000,0.92613,0.0118,64,1,27
47,642.2,11.1,136,-3.799999999999984,5554,-193.70000000000022,1.0000,0.92428,0.0158,64,1,28
48,656.4,12.5,180,-9.000000000000036,5734,-202.70000000000024,1.0000,0.92182,0.0158,64,0,28
49,670.9,12.8,180,-11.000000000000023,5914,-213.70000000000027,1.0000,0.91937,0.0159,64,0,28
50,685.2,12.7,180,-8.999999999999988,6094,-222.70000000000027,1.0000,0.91691,0.0148,64,0,28
51,750.3,14.3,180,-11.000000000000028,6274,-233.7000000000003,1.0000,0.91446,0.0151,64,0,28
52,764.4,12.4,180,-15.000000000000057,6454,-248.70000000000036,1.0000,0.91200,0.0158,64,0,28
53,769.2,3.1,46,0.7000000000000002,6500,-248.00000000000037,1.0000,0.91138,0.0185,64,1,29
54,773.9,2.9,19,4.05,6519,-243.95000000000036,1.0000,0.91112,0.0179,64,1,30
55,789.4,13.8,180,-8.999999999999993,6699,-252.95000000000036,1.0000,0.90866,0.0181,64,0,30
56,803.7,12.6,180,-11.000000000000021,6879,-263.9500000000004,1.0000,0.90621,0.0161,64,0,30
57,817.5,12.2,180,-17.000000000000053,7059,-280.95000000000044,1.0000,0.90375,0.0159,64,0,30
58,831.8,12.6,180,-8.999999999999986,7239,-289.95000000000044,1.0000,0.90130,0.0158,64,0,30
59,846.3,12.8,180,-9.000000000000007,7419,-298.95000000000044,1.0000,0.89884,0.0165,64,0,30
60,855.0,6.9,74,-2.6999999999999877,7493,-301.65000000000043,1.0000,0.89783,0.0160,64,1,31
61,859.9,3.2,23,1.8499999999999999,7516,-299.8000000000004,1.0000,0.89752,0.0145,64,1,32
62,865.8,4.2,38,-0.8999999999999955,7554,-300.7000000000004,1.0000,0.89700,0.0158,64,1,33
63,879.9,12.4,180,-17.000000000000064,7734,-317.70000000000044,1.0000,0.89455,0.0158,64,0,33
64,894.1,12.5,180,-8.999999999999993,7914,-326.70000000000044,1.0000,0.89209,0.0149,64,0,33
65,908.3,12.4,180,-6.999999999999976,8094,-333.70000000000044,1.0000,0.88964,0.0158,64,0,33
66,957.4,7.5,84,-5.199999999999988,8178,-338.90000000000043,1.0000,0.88849,0.0162,64,1,34
67,965.8,6.6,75,3.2500000000000018,8253,-335.65000000000043,1.0000,0.88747,0.0160,64,1,35
68,979.6,12.1,180,-9.000000000000048,8433,-344.6500000000005,1.0000,0.88502,0.0175,64,0,35
69,993.8,12.5,180,-6.999999999999984,8613,-351.6500000000005,1.0000,0.88256,0.0158,64,0,35
70,1007.8,12.3,180,-8.999999999999993,8793,-360.6500000000005,1.0000,0.88011,0.0158,64,0,35
71,1016.7,7.2,80,-2.999999999999994,8873,-363.6500000000005,1.0000,0.87902,0.0155,64,1,36
72,1030.3,11.9,180,-8.99999999999999,9053,-372.6500000000005,1.0000,0.87656,0.0149,64,0,36
73,1044.3,12.3,180,-11.00000000000003,9233,-383.65000000000055,1.0000,0.87411,0.0158,64,0,36
74,1047.9,1.8,2,2.9000000000000004,9235,-380.75000000000057,1.0000,0.87408,0.0264,64,1,37
75,1060.4,10.8,136,-1.7999999999999856,9371,-382.5500000000006,1.0000,0.87223,0.0168,64,1,38
76,1066.0,3.9,33,3.3499999999999996,9404,-379.20000000000056,1.0000,0.87178,0.0159,64,1,39
77,1080.1,12.4,180,-13.00000000000007,9584,-392.2000000000006,1.0000,0.86932,0.0164,64,0,39
78,1094.5,12.7,180,-2.9999999999999947,9764,-395.2000000000006,1.0000,0.86687,0.0145,64,0,39
79,1108.3,12.1,180,-11.000000000000021,9944,-406.2000000000006,1.0000,0.86441,0.0159,64,0,39
80,1117.7,7.7,86,-1.2999999999999927,10030,-407.5000000000006,1.0000,0.86324,0.0324,64,1,40
81,1174.4,7.1,79,1.0500000000000058,10109,-406.4500000000006,1.0000,0.86216,0.0585,64,1,41
82,1181.0,4.9,47,-1.3499999999999934,10156,-407.8000000000006,1.0000,0.86152,0.0446,64,1,42
83,1190.6,7.9,92,2.400000000000002,10248,-405.4000000000006,1.0000,0.86027,0.0439,64,1,43
84,1204.5,12.1,180,-8.99999999999999,10428,-414.4000000000006,1.0000,0.85781,0.0370,64,0,43
85,1218.9,12.8,159,-4.949999999999983,10587,-419.3500000000006,1.0000,0.85564,0.0333,64,1,44
