episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,53.0,10.3,180,-15.000000000000094,180,-15.000000000000094,1.0000,0.99756,0.0865,64,0,0
2,67.0,12.4,180,-13.000000000000028,360,-28.00000000000012,1.0000,0.99510,0.1233,64,0,0
3,70.6,2.0,6,-1.299999999999999,366,-29.300000000000118,1.0000,0.99502,0.0818,64,1,1
4,84.6,12.3,180,-15.000000000000021,546,-44.30000000000014,1.0000,0.99257,0.0644,64,0,1
5,98.7,12.5,180,-15.000000000000032,726,-59.30000000000017,1.0000,0.99011,0.0432,64,0,1
6,112.6,12.3,180,-15.000000000000057,906,-74.30000000000022,1.0000,0.98766,0.0383,64,0,1
7,126.7,12.4,180,-10.999999999999993,1086,-85.30000000000021,1.0000,0.98520,0.0323,64,0,1
8,134.7,6.4,71,-4.549999999999995,1157,-89.85000000000021,1.0000,0.98424,0.0313,64,1,2
9,138.3,2.0,5,2.75,1162,-87.10000000000021,1.0000,0.98417,0.0305,64,1,3
10,152.1,12.2,180,-19.000000000000092,1342,-106.1000000000003,1.0000,0.98171,0.0293,64,0,3
11,167.3,13.5,175,-11.750000000000053,1517,-117.85000000000036,1.0000,0.97933,0.0272,64,1,4
12,181.2,12.3,180,-21.000000000000092,1697,-138.85000000000045,1.0000,0.97687,0.0292,64,0,4
13,195.1,12.3,180,-21.000000000000092,1877,-159.85000000000053,1.0000,0.97442,0.0278,64,0,4
14,199.3,2.6,15,0.2500000000000009,1892,-159.60000000000053,1.0000,0.97421,0.0247,64,1,5
15,210.6,9.6,143,-10.150000000000055,2035,-169.7500000000006,1.0000,0.97226,0.0262,64,1,6
16,271.0,12.1,180,-15.000000000000039,2215,-184.75000000000063,1.0000,0.96981,0.0244,64,0,6
17,284.9,12.2,180,-17.00000000000005,2395,-201.75000000000068,1.0000,0.96735,0.0233,64,0,6
18,298.6,12.1,180,-15.00000000000006,2575,-216.75000000000074,1.0000,0.96490,0.0246,64,0,6
19,312.6,12.4,180,-10.999999999999993,2755,-227.75000000000074,1.0000,0.96244,0.0213,64,0,6
20,326.6,12.4,180,-17.000000000000117,2935,-244.75000000000085,1.0000,0.95999,0.0210,64,0,6
21,334.8,6.5,73,-2.649999999999988,3008,-247.40000000000083,1.0000,0.95899,0.0202,64,1,7
22,348.6,12.2,180,-17.000000000000078,3188,-264.4000000000009,1.0000,0.95654,0.0196,64,0,7
23,352.7,2.5,13,0.35000000000000053,3201,-264.05000000000086,1.0000,0.95636,0.0197,64,1,8
24,363.9,9.6,120,-13.000000000000053,3321,-277.0500000000009,1.0000,0.95473,0.0203,64,1,9
25,377.6,12.0,180,-13.00000000000006,3501,-290.050000000001,1.0000,0.95227,0.0200,64,0,9
26,390.7,11.6,148,-12.400000000000055,3649,-302.450000000001,1.0000,0.95025,0.0197,64,1,10
27,398.5,6.2,67,-2.349999999999989,3716,-304.800000000001,1.0000,0.94934,0.0199,64,1,11
28,412.3,12.1,180,-19.000000000000064,3896,-323.80000000000103,1.0000,0.94689,0.0207,64,0,11
29,425.4,11.5,180,-27.000000000000092,4076,-350.80000000000115,1.0000,0.94443,0.0208,64,0,11
30,473.0,7.7,87,-1.3499999999999925,4163,-352.1500000000011,1.0000,0.94324,0.0199,64,1,12
31,486.5,11.9,180,-19.000000000000078,4343,-371.15000000000117,1.0000,0.94079,0.0197,64,0,12
32,500.2,12.0,180,-23.000000000000064,4523,-394.1500000000012,1.0000,0.93834,0.0200,64,0,12
33,513.3,11.5,149,-12.45000000000007,4672,-406.6000000000013,1.0000,0.93630,0.0205,64,1,13
34,527.4,12.5,180,-11.000000000000028,4852,-417.6000000000013,1.0000,0.93385,0.0180,64,0,13
35,531.5,2.4,12,0.4000000000000017,4864,-417.2000000000013,1.0000,0.93369,0.0148,64,1,14
36,545.2,12.1,180,-19.000000000000057,5044,-436.20000000000135,1.0000,0.93123,0.0177,64,0,14
37,559.3,12.4,180,-13.000000000000021,5224,-449.20000000000135,1.0000,0.92878,0.0169,64,0,14
38,573.1,12.2,180,-17.000000000000036,5404,-466.2000000000014,1.0000,0.92632,0.0165,64,0,14
39,586.6,11.9,180,-21.000000000000057,5584,-487.20000000000147,1.0000,0.92387,0.0181,64,0,14
40,600.5,12.2,180,-15.000000000000028,5764,-502.2000000000015,1.0000,0.92141,0.0173,64,0,14
41,606.7,4.6,46,-3.299999999999998,5810,-505.50000000000153,1.0000,0.92079,0.0193,64,1,15
42,620.8,12.4,180,-11.000000000000028,5990,-516.5000000000016,1.0000,0.91833,0.0177,64,0,15
43,634.8,12.4,180,-13.000000000000057,6170,-529.5000000000016,1.0000,0.91588,0.0170,64,0,15
44,694.5,12.1,180,-17.000000000000064,6350,-546.5000000000017,1.0000,0.91342,0.0164,64,0,15
45,708.4,12.2,180,-19.000000000000092,6530,-565.5000000000018,1.0000,0.91097,0.0167,64,0,15
46,722.2,12.2,180,-15.00000000000006,6710,-580.5000000000019,1.0000,0.90851,0.0163,64,0,15
47,735.9,12.1,180,-15.000000000000073,6890,-595.500000000002,1.0000,0.90606,0.0162,64,0,15
48,749.0,11.4,144,-8.20000000000002,7034,-603.7000000000021,1.0000,0.90409,0.0154,64,1,16
49,762.9,12.3,180,-19.000000000000075,7214,-622.7000000000022,1.0000,0.90164,0.0167,64,0,16
50,776.7,12.2,180,-8.999999999999993,7394,-631.7000000000022,1.0000,0.89918,0.0148,64,0,16
51,790.6,12.3,180,-11.000000000000021,7574,-642.7000000000022,1.0000,0.89673,0.0155,64,0,16
52,804.4,12.1,180,-13.000000000000028,7754,-655.7000000000022,1.0000,0.89428,0.0150,64,0,16
53,818.4,12.3,180,-8.999999999999993,7934,-664.7000000000022,1.0000,0.89182,0.0148,64,0,16
54,822.1,2.1,7,2.6500000000000004,7941,-662.0500000000022,1.0000,0.89173,0.0122,64,1,17
55,836.0,12.4,180,-13.00000000000004,8121,-675.0500000000022,1.0000,0.88927,0.0148,64,0,17
56,891.9,12.2,180,-19.000000000000085,8301,-694.0500000000023,1.0000,0.88682,0.0142,64,0,17
57,905.3,11.7,148,-12.400000000000084,8449,-706.4500000000024,1.0000,0.88480,0.0155,64,1,18
58,914.5,7.6,88,-5.399999999999998,8537,-711.8500000000024,1.0000,0.88360,0.0137,64,1,19
59,928.1,12.0,180,-25.000000000000068,8717,-736.8500000000025,1.0000,0.88114,0.0161,64,0,19
60,942.0,12.2,180,-23.000000000000085,8897,-759.8500000000026,1.0000,0.87869,0.0157,64,0,19
61,955.5,11.9,180,-21.00000000000004,9077,-780.8500000000026,1.0000,0.87623,0.0174,64,0,19
62,969.5,12.4,180,-15.000000000000078,9257,-795.8500000000028,1.0000,0.87378,0.0161,64,0,19
63,977.4,6.2,68,-2.399999999999995,9325,-798.2500000000027,1.0000,0.87285,0.0152,64,1,20
64,990.9,12.0,180,-27.000000000000092,9505,-825.2500000000028,1.0000,0.87040,0.0164,64,0,20
65,1002.5,9.9,125,-5.249999999999981,9630,-830.5000000000028,1.0000,0.86869,0.0164,64,1,21
66,1016.1,12.0,180,-19.00000000000006,9810,-849.500000000003,1.0000,0.86624,0.0156,64,0,21
67,1026.1,8.4,102,-4.09999999999999,9912,-853.600000000003,1.0000,0.86485,0.0167,64,1,22
68,1039.5,11.7,180,-17.000000000000092,10092,-870.6000000000031,1.0000,0.86239,0.0318,64,0,22
69,1085.5,2.0,5,2.75,10097,-867.8500000000031,1.0000,0.86233,0.0366,64,1,23
70,1092.4,5.3,57,-1.8499999999999917,10154,-869.7000000000031,1.0000,0.86155,0.0387,64,1,24
71,1106.1,12.1,180,-19.000000000000057,10334,-888.7000000000032,1.0000,0.85909,0.0351,64,0,24
72,1120.1,12.4,180,-17.000000000000103,10514,-905.7000000000033,1.0000,0.85664,0.0299,64,0,24
73,1134.2,12.5,180,-15.000000000000032,10694,-920.7000000000033,1.0000,0.85418,0.0251,64,0,24
74,1148.0,12.2,180,-13.00000000000006,10874,-933.7000000000035,1.0000,0.85173,0.0243,64,0,24
75,1160.5,10.8,135,-9.750000000000032,11009,-943.4500000000035,1.0000,0.84989,0.0208,64,1,25
76,1174.3,12.2,180,-17.000000000000064,11189,-960.4500000000036,1.0000,0.84743,0.0218,64,0,25
77,1178.4,2.4,13,2.35,11202,-958.1000000000035,1.0000,0.84726,0.0221,64,1,26
78,1192.5,12.5,180,-11.000000000000028,11382,-969.1000000000035,1.0000,0.84480,0.0200,64,0,26
79,1202.5,8.4,98,-5.899999999999998,11480,-975.0000000000035,1.0000,0.84347,0.0179,64,1,27
80,1216.1,12.0,180,-17.00000000000003,11660,-992.0000000000035,1.0000,0.84101,0.0193,64,0,27
81,1229.9,12.2,180,-15.000000000000057,11840,-1007.0000000000036,1.0000,0.83856,0.0182,64,0,27
82,1243.7,12.2,180,-23.00000000000003,12020,-1030.0000000000036,1.0000,0.83610,0.0173,64,0,27
