episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,52.2,8.8,180,-6.999999999999984,180,-6.999999999999984,1.0000,0.99756,0.0751,64,0,0
2,66.0,12.3,180,-2.999999999999986,360,-9.99999999999997,1.0000,0.99510,0.1114,64,0,0
3,80.0,12.4,180,-4.999999999999993,540,-14.999999999999963,1.0000,0.99265,0.0584,64,0,0
4,83.4,1.9,5,2.75,545,-12.249999999999963,1.0000,0.99258,0.0290,64,1,1
5,97.2,12.2,180,-2.9999999999999907,725,-15.249999999999954,1.0000,0.99013,0.0461,64,0,1
6,101.4,2.6,16,2.2,741,-13.049999999999955,1.0000,0.98991,0.0467,64,1,2
7,115.4,12.5,180,-4.9999999999999885,921,-18.049999999999944,1.0000,0.98745,0.0393,64,0,2
8,129.2,12.2,154,-0.6999999999999971,1075,-18.74999999999994,1.0000,0.98535,0.0344,64,1,3
9,143.2,12.5,180,-3.0000000000000004,1255,-21.74999999999994,1.0000,0.98290,0.0307,64,0,3
10,157.4,12.6,180,-2.99999999999999,1435,-24.74999999999993,1.0000,0.98045,0.0280,64,0,3
11,170.9,12.0,180,1.000000000000016,1615,-23.749999999999915,1.0000,0.97799,0.0285,64,0,3
12,184.5,12.0,180,-0.9999999999999982,1795,-24.749999999999915,1.0000,0.97554,0.0272,64,0,3
13,198.4,12.3,180,1.0000000000000178,1975,-23.749999999999897,1.0000,0.97308,0.0256,64,0,3
14,211.9,12.0,180,1.000000000000016,2155,-22.74999999999988,1.0000,0.97063,0.0249,64,0,3
15,257.6,7.4,65,5.75,2220,-16.99999999999988,1.0000,0.96974,0.0233,64,1,4
16,271.4,12.3,180,-2.999999999999993,2400,-19.999999999999872,1.0000,0.96729,0.0248,64,0,4
17,284.9,11.9,180,-6.999999999999984,2580,-26.999999999999858,1.0000,0.96483,0.0218,64,0,4
18,298.5,12.1,180,-2.99999999999999,2760,-29.999999999999847,1.0000,0.96238,0.0227,64,0,4
19,302.5,2.4,13,2.35,2773,-27.649999999999846,1.0000,0.96220,0.0219,64,1,5
20,316.6,12.5,180,-0.9999999999999981,2953,-28.649999999999842,1.0000,0.95974,0.0206,64,0,5
21,326.4,8.2,96,2.200000000000004,3049,-26.44999999999984,1.0000,0.95844,0.0197,64,1,6
22,340.5,12.6,180,-4.999999999999985,3229,-31.449999999999825,1.0000,0.95598,0.0194,64,0,6
23,348.2,6.1,64,-0.19999999999999662,3293,-31.64999999999982,1.0000,0.95511,0.0181,64,1,7
24,356.7,7.0,81,8.950000000000006,3374,-22.699999999999815,1.0000,0.95400,0.0177,64,1,8
25,367.7,9.4,116,3.200000000000011,3490,-19.499999999999805,1.0000,0.95242,0.0193,64,1,9
26,381.6,12.4,180,-8.999999999999993,3670,-28.499999999999797,1.0000,0.94997,0.0176,64,0,9
27,386.8,3.7,55,14.250000000000004,3725,-14.249999999999794,1.0000,0.94922,0.0182,64,1,10
28,391.9,3.5,31,3.449999999999999,3756,-10.799999999999795,1.0000,0.94879,0.0233,64,1,11
29,407.4,14.0,180,-4.999999999999976,3936,-15.79999999999977,1.0000,0.94634,0.0161,64,0,11
30,421.4,12.4,180,-2.9999999999999885,4116,-18.79999999999976,1.0000,0.94389,0.0177,64,0,11
