episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
1,50.2,3.8,61,0.939,61,0.939,100.0000,0.99918,0.0000,64
2,53.9,2.0,14,2.986,75,3.9250000000000003,100.0000,0.99899,0.0000,64
3,57.2,1.7,4,0.996,79,4.921,100.0000,0.99894,0.0000,64
4,69.4,10.5,180,7.820000000000003,259,12.741000000000003,100.0000,0.99648,0.1635,64
5,83.2,12.2,180,11.820000000000055,439,24.561000000000057,100.0000,0.99403,0.1252,64
6,86.7,1.9,4,0.996,443,25.557000000000055,100.0000,0.99397,0.0464,64
7,91.2,2.9,19,0.981,462,26.538000000000057,100.0000,0.99371,0.0790,64
8,105.9,13.1,170,12.829999999999998,632,39.36800000000005,100.0000,0.99140,0.0783,64
9,119.8,12.3,180,3.820000000000019,812,43.18800000000007,100.0000,0.98894,0.0578,64
10,123.6,2.1,7,0.993,819,44.181000000000076,100.0000,0.98885,0.0605,64
11,136.4,11.2,143,14.857000000000026,962,59.0380000000001,100.0000,0.98690,0.0441,64
12,150.6,12.6,180,3.8200000000000176,1142,62.85800000000012,100.0000,0.98444,0.0386,64
13,163.9,11.7,180,9.819999999999968,1322,72.67800000000008,100.0000,0.98199,0.0327,64
14,177.9,12.3,180,3.820000000000017,1502,76.4980000000001,100.0000,0.97953,0.0301,64
15,191.5,12.0,180,9.819999999999995,1682,86.3180000000001,100.0000,0.97708,0.0276,64
16,202.4,9.3,119,6.880999999999985,1801,93.19900000000008,100.0000,0.97545,0.0294,64
17,216.1,12.1,180,9.820000000000027,1981,103.0190000000001,100.0000,0.97300,0.0263,64
18,230.0,12.3,180,3.8200000000000185,2161,106.83900000000013,100.0000,0.97055,0.0238,64
19,283.6,12.5,162,8.837999999999962,2323,115.67700000000009,100.0000,0.96834,0.0235,64
20,292.6,7.4,83,4.917000000000009,2406,120.59400000000011,100.0000,0.96720,0.0240,64
21,306.4,12.1,180,7.820000000000019,2586,128.41400000000013,100.0000,0.96475,0.0229,64
22,320.5,12.5,180,1.8200000000000185,2766,130.23400000000015,100.0000,0.96229,0.0215,64
23,334.5,12.4,180,3.8200000000000194,2946,134.05400000000017,100.0000,0.95984,0.0192,64
24,348.4,12.2,180,3.8200000000000105,3126,137.8740000000002,100.0000,0.95739,0.0202,64
25,362.3,12.3,180,5.819999999999981,3306,143.6940000000002,100.0000,0.95493,0.0188,64
26,370.6,6.7,73,2.9270000000000076,3379,146.6210000000002,100.0000,0.95394,0.0174,64
27,379.6,7.5,90,2.910000000000003,3469,149.5310000000002,100.0000,0.95271,0.0184,64
28,383.8,2.5,39,4.961000000000003,3508,154.49200000000022,100.0000,0.95218,0.0174,64
29,398.4,13.0,142,4.858000000000011,3650,159.35000000000022,100.0000,0.95024,0.0196,64
30,410.5,10.5,128,4.872000000000014,3778,164.22200000000024,100.0000,0.94849,0.0177,64
31,424.3,12.2,180,5.819999999999958,3958,170.0420000000002,100.0000,0.94604,0.0173,64
32,427.9,1.9,5,2.995,3963,173.0370000000002,100.0000,0.94597,0.0234,64
33,436.6,7.1,81,4.919000000000003,4044,177.95600000000022,100.0000,0.94487,0.0170,64
34,479.6,2.0,5,0.995,4049,178.95100000000022,100.0000,0.94480,0.0126,64
35,494.6,13.4,176,8.823999999999963,4225,187.77500000000018,100.0000,0.94240,0.0167,64
36,508.1,11.9,180,11.820000000000073,4405,199.59500000000025,100.0000,0.93994,0.0192,64
37,522.0,12.3,180,9.819999999999999,4585,209.41500000000025,100.0000,0.93749,0.0168,64
38,535.5,11.9,180,9.81999999999999,4765,219.23500000000024,100.0000,0.93504,0.0163,64
39,549.3,12.2,180,5.820000000000012,4945,225.05500000000026,100.0000,0.93258,0.0158,64
40,561.4,10.5,157,14.84300000000005,5102,239.8980000000003,100.0000,0.93044,0.0167,64
41,577.0,13.9,180,13.820000000000062,5282,253.71800000000036,100.0000,0.92799,0.0175,64
42,590.9,12.3,180,5.820000000000004,5462,259.53800000000035,100.0000,0.92553,0.0172,64
43,597.5,4.8,50,12.950000000000006,5512,272.48800000000034,100.0000,0.92485,0.0159,64
44,601.3,2.2,9,0.991,5521,273.4790000000003,100.0000,0.92473,0.0127,64
45,615.0,12.0,180,9.81999999999998,5701,283.2990000000003,100.0000,0.92227,0.0171,64
46,628.8,12.2,180,9.820000000000032,5881,293.11900000000037,100.0000,0.91982,0.0179,64
47,642.9,12.5,180,9.820000000000048,6061,302.9390000000004,100.0000,0.91736,0.0174,64
48,697.5,12.4,180,-0.18000000000000013,6241,302.7590000000004,100.0000,0.91491,0.0162,64
49,702.9,3.7,33,6.967000000000001,6274,309.7260000000004,100.0000,0.91446,0.0198,64
50,716.9,12.4,180,5.819999999999991,6454,315.5460000000004,100.0000,0.91200,0.0171,64
51,731.0,12.5,180,1.820000000000009,6634,317.3660000000004,100.0000,0.90955,0.0159,64
52,735.7,3.1,24,6.976000000000001,6658,324.3420000000004,100.0000,0.90922,0.0147,64
53,750.0,12.6,180,-0.18000000000000013,6838,324.1620000000004,100.0000,0.90677,0.0151,64
54,754.3,2.7,17,2.9830000000000014,6855,327.1450000000004,100.0000,0.90653,0.0183,64
55,768.2,12.3,180,3.82000000000002,7035,330.9650000000004,100.0000,0.90408,0.0152,64
56,782.2,12.4,180,7.819999999999947,7215,338.7850000000003,100.0000,0.90163,0.0150,64
57,797.4,13.5,175,10.82499999999998,7390,349.6100000000003,100.0000,0.89924,0.0155,64
58,801.9,2.8,44,4.956000000000005,7434,354.5660000000003,100.0000,0.89864,0.0170,64
59,817.5,14.0,180,5.820000000000009,7614,360.3860000000003,100.0000,0.89618,0.0153,64
60,831.0,11.9,180,13.820000000000014,7794,374.2060000000003,100.0000,0.89373,0.0157,64
61,844.1,11.5,144,4.856000000000008,7938,379.0620000000003,100.0000,0.89177,0.0156,64
62,857.9,12.2,180,7.819999999999982,8118,386.8820000000003,100.0000,0.88931,0.0145,64
63,912.4,12.2,180,7.819999999999991,8298,394.7020000000003,100.0000,0.88686,0.0147,64
64,926.4,12.4,180,5.8200000000000065,8478,400.5220000000003,100.0000,0.88440,0.0152,64
65,934.0,6.0,65,2.9350000000000014,8543,403.4570000000003,100.0000,0.88352,0.0143,64
66,945.2,9.6,120,6.8800000000000034,8663,410.3370000000003,100.0000,0.88188,0.0146,64
67,956.0,9.1,110,4.890000000000008,8773,415.22700000000026,100.0000,0.88038,0.0150,64
68,969.8,12.2,159,10.841000000000008,8932,426.06800000000027,100.0000,0.87821,0.0158,64
69,982.9,11.5,180,11.820000000000027,9112,437.8880000000003,100.0000,0.87576,0.0156,64
70,984.7,0.2,3,0.997,9115,438.88500000000033,100.0000,0.87572,0.0183,64
71,1000.1,13.7,180,11.820000000000022,9295,450.7050000000004,100.0000,0.87326,0.0149,64
72,1013.8,12.1,180,5.819999999999987,9475,456.5250000000004,100.0000,0.87081,0.0150,64
73,1028.6,13.1,166,4.834000000000008,9641,461.3590000000004,100.0000,0.86854,0.0144,64
74,1042.4,12.2,180,7.819999999999966,9821,469.17900000000037,100.0000,0.86609,0.0147,64
75,1056.1,12.0,180,3.820000000000015,10001,472.99900000000036,100.0000,0.86363,0.0153,64
76,1109.9,13.6,180,9.820000000000007,10181,482.81900000000036,100.0000,0.86118,0.0655,64
77,1114.1,2.6,15,0.985,10196,483.80400000000037,100.0000,0.86098,0.0487,64
78,1128.2,12.5,158,8.841999999999965,10354,492.64600000000036,100.0000,0.85882,0.0488,64
79,1140.9,11.0,138,12.862000000000029,10492,505.5080000000004,100.0000,0.85694,0.0429,64
80,1145.4,2.9,19,4.981000000000001,10511,510.4890000000004,100.0000,0.85668,0.0452,64
