episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,55.3,8.2,180,-4.999999999999986,180,-4.999999999999986,1.0000,0.99756,0.0820,64,0,0
2,69.0,12.1,180,-0.999999999999997,360,-5.999999999999983,1.0000,0.99510,0.1201,64,0,0
3,79.3,8.8,106,1.6999999999999988,466,-4.299999999999985,1.0000,0.99366,0.0761,64,1,1
4,93.4,12.6,180,-4.999999999999985,646,-9.299999999999969,1.0000,0.99120,0.0631,64,0,1
5,108.6,13.6,174,-1.699999999999977,820,-10.999999999999947,1.0000,0.98883,0.0409,64,1,2
6,122.1,12.0,180,-0.9999999999999972,1000,-11.999999999999943,1.0000,0.98638,0.0367,64,0,2
7,136.2,12.4,180,-2.999999999999976,1180,-14.999999999999918,1.0000,0.98392,0.0351,64,0,2
8,149.7,11.9,180,1.000000000000007,1360,-13.999999999999911,1.0000,0.98147,0.0316,64,0,2
9,163.7,12.4,180,-6.999999999999981,1540,-20.999999999999893,1.0000,0.97901,0.0280,64,0,2
10,172.7,7.5,91,8.45000000000001,1631,-12.549999999999883,1.0000,0.97777,0.0283,64,1,3
11,186.3,12.0,180,5.000000000000013,1811,-7.54999999999987,1.0000,0.97532,0.0300,64,0,3
12,200.4,12.5,180,-2.9999999999999893,1991,-10.549999999999859,1.0000,0.97286,0.0262,64,0,3
13,214.3,12.3,180,1.0000000000000127,2171,-9.549999999999846,1.0000,0.97041,0.0232,64,0,3
14,266.1,3.6,31,9.45,2202,-0.09999999999984688,1.0000,0.96999,0.0229,64,1,4
15,277.5,9.8,117,-2.849999999999987,2319,-2.949999999999834,1.0000,0.96839,0.0241,64,1,5
16,291.3,12.2,180,-8.999999999999993,2499,-11.949999999999827,1.0000,0.96594,0.0218,64,0,5
17,304.3,11.4,146,-0.29999999999999183,2645,-12.249999999999819,1.0000,0.96394,0.0203,64,1,6
18,318.3,12.5,180,-2.9999999999999907,2825,-15.24999999999981,1.0000,0.96149,0.0209,64,0,6
19,332.2,12.3,180,-2.9999999999999956,3005,-18.249999999999805,1.0000,0.95904,0.0198,64,0,6
20,346.4,12.6,180,-8.999999999999993,3185,-27.249999999999797,1.0000,0.95658,0.0184,64,0,6
21,360.1,12.1,180,1.0000000000000258,3365,-26.249999999999773,1.0000,0.95413,0.0179,64,0,6
22,374.2,12.5,180,-6.999999999999984,3545,-33.24999999999976,1.0000,0.95167,0.0178,64,0,6
23,377.8,2.1,8,4.6,3553,-28.649999999999757,1.0000,0.95156,0.0191,64,1,7
24,385.3,6.0,64,1.8000000000000018,3617,-26.849999999999756,1.0000,0.95069,0.0160,64,1,8
25,392.0,5.1,54,6.300000000000004,3671,-20.549999999999752,1.0000,0.94995,0.0161,64,1,9
26,406.2,12.6,180,-6.999999999999987,3851,-27.549999999999738,1.0000,0.94750,0.0168,64,0,9
27,420.2,12.5,180,-0.9999999999999951,4031,-28.549999999999734,1.0000,0.94504,0.0176,64,0,9
28,471.6,10.8,117,7.150000000000018,4148,-21.399999999999714,1.0000,0.94345,0.0174,64,1,10
29,484.4,11.2,140,4.000000000000008,4288,-17.399999999999707,1.0000,0.94154,0.0168,64,1,11
30,498.1,12.1,180,-2.9999999999999885,4468,-20.399999999999697,1.0000,0.93909,0.0167,64,0,11
31,501.5,1.8,4,2.8000000000000003,4472,-17.599999999999696,1.0000,0.93903,0.0239,64,1,12
32,510.6,7.6,89,2.5500000000000007,4561,-15.049999999999695,1.0000,0.93782,0.0171,64,1,13
33,524.6,12.4,180,-4.9999999999999885,4741,-20.049999999999685,1.0000,0.93536,0.0182,64,0,13
