episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,51.8,5.0,105,9.74999999999999,105,9.74999999999999,1.0000,0.99858,0.0000,64,1,1
2,64.1,10.7,144,11.79999999999999,249,21.54999999999998,1.0000,0.99662,0.1951,64,1,2
3,72.9,7.2,82,12.90000000000001,331,34.44999999999999,1.0000,0.99550,0.1391,64,1,3
4,86.8,12.3,180,7.000000000000027,511,41.45000000000002,1.0000,0.99305,0.1114,64,0,3
5,101.1,12.6,180,-4.999999999999992,691,36.450000000000024,1.0000,0.99059,0.0702,64,0,3
6,114.9,12.1,180,1.0000000000000107,871,37.45000000000003,1.0000,0.98814,0.0497,64,0,3
7,128.8,12.4,180,5.000000000000004,1051,42.45000000000004,1.0000,0.98568,0.0449,64,0,3
8,132.0,1.5,24,3.8,1075,46.250000000000036,1.0000,0.98535,0.0469,64,1,4
9,147.7,14.0,180,-2.999999999999994,1255,43.25000000000004,1.0000,0.98290,0.0347,64,0,4
10,151.1,1.8,3,2.85,1258,46.100000000000044,1.0000,0.98286,0.0981,64,1,5
11,165.3,12.5,180,-1.0000000000000016,1438,45.100000000000044,1.0000,0.98040,0.0309,64,0,5
12,176.1,9.2,110,3.500000000000008,1548,48.60000000000005,1.0000,0.97890,0.0289,64,1,6
13,190.4,12.6,180,-3.0000000000000004,1728,45.60000000000005,1.0000,0.97645,0.0264,64,0,6
14,197.4,5.4,57,2.1499999999999995,1785,47.75000000000005,1.0000,0.97567,0.0269,64,1,7
15,211.8,12.8,180,-2.999999999999996,1965,44.75000000000006,1.0000,0.97322,0.0238,64,0,7
16,226.1,12.6,180,-2.9999999999999973,2145,41.75000000000006,1.0000,0.97076,0.0230,64,0,7
17,283.5,14.3,180,-4.999999999999976,2325,36.75000000000008,1.0000,0.96831,0.0208,64,0,7
18,287.7,2.5,13,2.35,2338,39.10000000000008,1.0000,0.96813,0.0263,64,1,8
19,301.8,12.5,180,-4.99999999999999,2518,34.10000000000009,1.0000,0.96568,0.0206,64,0,8
20,316.0,12.6,180,1.0000000000000142,2698,35.1000000000001,1.0000,0.96322,0.0206,64,0,8
21,330.2,12.5,180,-0.9999999999999846,2878,34.100000000000115,1.0000,0.96077,0.0195,64,0,8
22,344.4,12.5,180,-0.9999999999999918,3058,33.10000000000012,1.0000,0.95831,0.0199,64,0,8
23,358.7,12.7,180,-0.999999999999997,3238,32.10000000000012,1.0000,0.95586,0.0209,64,0,8
24,373.3,12.9,180,-4.999999999999989,3418,27.100000000000133,1.0000,0.95340,0.0187,64,0,8
25,387.3,12.4,180,-0.9999999999999866,3598,26.100000000000147,1.0000,0.95095,0.0187,64,0,8
26,401.6,12.6,180,1.0000000000000082,3778,27.100000000000154,1.0000,0.94849,0.0172,64,0,8
27,412.5,9.3,107,3.650000000000001,3885,30.750000000000156,1.0000,0.94704,0.0179,64,1,9
28,427.2,13.1,180,-4.999999999999988,4065,25.75000000000017,1.0000,0.94458,0.0163,64,0,9
29,485.8,12.2,150,1.5000000000000027,4215,27.250000000000174,1.0000,0.94254,0.0156,64,1,10
30,500.0,12.5,180,-4.9999999999999885,4395,22.250000000000185,1.0000,0.94008,0.0149,64,0,10
31,504.4,2.8,18,4.1,4413,26.350000000000186,1.0000,0.93984,0.0147,64,1,11
32,510.9,4.8,45,0.75,4458,27.100000000000186,1.0000,0.93922,0.0140,64,1,12
33,515.2,2.6,14,2.3000000000000003,4472,29.400000000000187,1.0000,0.93903,0.0134,64,1,13
34,529.6,12.8,180,-2.9999999999999902,4652,26.400000000000198,1.0000,0.93658,0.0162,64,0,13
35,543.3,12.1,180,1.0000000000000213,4832,27.40000000000022,1.0000,0.93412,0.0167,64,0,13
36,557.2,12.2,180,3.0000000000000266,5012,30.400000000000247,1.0000,0.93167,0.0161,64,0,13
37,571.6,12.8,180,-2.999999999999991,5192,27.400000000000254,1.0000,0.92921,0.0165,64,0,13
38,585.3,12.0,180,1.0000000000000249,5372,28.40000000000028,1.0000,0.92676,0.0153,64,0,13
39,599.9,12.8,180,-6.999999999999976,5552,21.400000000000304,1.0000,0.92430,0.0162,64,0,13
40,606.6,5.1,52,2.399999999999999,5604,23.800000000000303,1.0000,0.92359,0.0133,64,1,14
41,620.9,12.7,180,1.000000000000016,5784,24.800000000000317,1.0000,0.92114,0.0150,64,0,14
42,635.4,12.9,180,-2.9999999999999893,5964,21.800000000000328,1.0000,0.91869,0.0154,64,0,14
43,649.9,12.9,180,-4.999999999999993,6144,16.800000000000335,1.0000,0.91623,0.0155,64,0,14
44,699.9,5.0,49,4.549999999999999,6193,21.350000000000335,1.0000,0.91556,0.0160,64,1,15
45,703.8,2.3,10,4.5,6203,25.850000000000335,1.0000,0.91543,0.0142,64,1,16
46,717.9,12.4,180,-0.999999999999999,6383,24.850000000000335,1.0000,0.91297,0.0155,64,0,16
47,732.0,12.5,180,-0.999999999999989,6563,23.850000000000346,1.0000,0.91052,0.0149,64,0,16
48,746.8,13.2,168,6.600000000000021,6731,30.450000000000365,1.0000,0.90823,0.0149,64,1,17
49,752.3,3.9,34,5.300000000000003,6765,35.75000000000037,1.0000,0.90776,0.0146,64,1,18
50,766.6,12.7,180,-2.9999999999999902,6945,32.75000000000038,1.0000,0.90531,0.0155,64,0,18
51,780.8,12.6,180,-3.0,7125,29.750000000000377,1.0000,0.90285,0.0147,64,0,18
52,795.1,12.7,180,-0.999999999999991,7305,28.750000000000387,1.0000,0.90040,0.0160,64,0,18
53,809.6,12.9,180,-4.999999999999989,7485,23.750000000000398,1.0000,0.89794,0.0148,64,0,18
54,823.7,12.4,180,1.0000000000000009,7665,24.750000000000398,1.0000,0.89549,0.0137,64,0,18
55,837.9,12.6,180,-0.9999999999999986,7845,23.750000000000398,1.0000,0.89303,0.0131,64,0,18
56,852.4,12.8,180,1.0000000000000107,8025,24.75000000000041,1.0000,0.89058,0.0131,64,0,18
57,895.3,5.0,47,0.6500000000000004,8072,25.40000000000041,1.0000,0.88994,0.0156,64,1,19
58,901.4,4.3,41,4.950000000000003,8113,30.350000000000414,1.0000,0.88938,0.0143,64,1,20
59,916.1,12.7,180,-2.9999999999999876,8293,27.350000000000428,1.0000,0.88693,0.0134,64,0,20
60,921.9,4.2,35,7.250000000000002,8328,34.60000000000043,1.0000,0.88645,0.0172,64,1,21
61,928.7,5.1,49,2.5499999999999994,8377,37.150000000000425,1.0000,0.88578,0.0141,64,1,22
62,937.1,6.7,73,5.3500000000000085,8450,42.50000000000043,1.0000,0.88478,0.0135,64,1,23
63,951.2,12.5,180,-0.9999999999999875,8630,41.50000000000045,1.0000,0.88233,0.0125,64,0,23
64,965.9,13.0,168,6.60000000000002,8798,48.10000000000047,1.0000,0.88004,0.0145,64,1,24
65,974.8,7.2,84,4.800000000000005,8882,52.900000000000475,1.0000,0.87889,0.0125,64,1,25
66,985.2,8.8,104,1.8000000000000032,8986,54.70000000000048,1.0000,0.87748,0.0148,64,1,26
67,996.4,9.6,117,7.150000000000013,9103,61.85000000000049,1.0000,0.87588,0.0140,64,1,27
68,1010.4,12.4,180,-0.9999999999999839,9283,60.850000000000506,1.0000,0.87343,0.0134,64,0,27
69,1014.0,1.9,4,2.8000000000000003,9287,63.6500000000005,1.0000,0.87337,0.0105,64,1,28
70,1023.9,8.3,98,10.100000000000012,9385,73.75000000000051,1.0000,0.87203,0.0139,64,1,29
71,1038.6,13.0,165,6.750000000000023,9550,80.50000000000054,1.0000,0.86978,0.0141,64,1,30
72,1052.6,12.4,180,2.9999999999999987,9730,83.50000000000054,1.0000,0.86733,0.0130,64,0,30
73,1059.0,4.7,48,4.6,9778,88.10000000000053,1.0000,0.86668,0.0147,64,1,31
74,1072.7,12.1,180,3.0000000000000107,9958,91.10000000000055,1.0000,0.86422,0.0135,64,0,31
75,1077.0,2.7,16,2.2,9974,93.30000000000055,1.0000,0.86400,0.0155,64,1,32
76,1091.6,13.0,168,6.600000000000006,10142,99.90000000000056,1.0000,0.86171,0.0489,64,1,33
77,1139.1,9.5,92,6.400000000000005,10234,106.30000000000057,1.0000,0.86046,0.0465,64,1,34
78,1143.1,2.4,11,6.45,10245,112.75000000000057,1.0000,0.86031,0.0353,64,1,35
79,1157.5,12.7,180,-4.999999999999987,10425,107.75000000000058,1.0000,0.85785,0.0395,64,0,35
80,1162.3,3.2,25,5.750000000000003,10450,113.50000000000058,1.0000,0.85751,0.0366,64,1,36
81,1176.7,12.7,180,-8.999999999999993,10630,104.5000000000006,1.0000,0.85506,0.0326,64,0,36
82,1190.4,12.1,180,1.000000000000003,10810,105.5000000000006,1.0000,0.85260,0.0284,64,0,36
83,1201.9,9.9,123,4.850000000000015,10933,110.3500000000006,1.0000,0.85093,0.0280,64,1,37
84,1216.2,12.6,180,-2.999999999999985,11113,107.35000000000062,1.0000,0.84847,0.0248,64,0,37
85,1230.3,12.4,180,-8.999999999999993,11293,98.35000000000062,1.0000,0.84602,0.0217,64,0,37
86,1244.1,12.1,180,3.0000000000000293,11473,101.35000000000065,1.0000,0.84356,0.0204,64,0,37
87,1249.1,3.4,25,1.7499999999999998,11498,103.10000000000065,1.0000,0.84322,0.0189,64,1,38
88,1263.0,12.3,180,0.999999999999996,11678,104.10000000000065,1.0000,0.84077,0.0187,64,0,38
89,1267.0,2.3,11,6.450000000000001,11689,110.55000000000065,1.0000,0.84062,0.0175,64,1,39
90,1281.5,12.6,180,-8.999999999999993,11869,101.55000000000067,1.0000,0.83816,0.0187,64,0,39
91,1295.6,12.4,180,-2.9999999999999822,12049,98.55000000000068,1.0000,0.83571,0.0177,64,0,39
92,1337.1,4.0,12,4.3999999999999995,12061,102.95000000000068,1.0000,0.83554,0.0162,64,1,40
93,1344.8,6.2,65,1.7499999999999991,12126,104.70000000000068,1.0000,0.83466,0.0168,64,1,41
94,1358.5,12.0,180,-3.0,12306,101.70000000000068,1.0000,0.83220,0.0167,64,0,41
95,1363.1,3.0,21,5.949999999999999,12327,107.65000000000069,1.0000,0.83192,0.0158,64,1,42
96,1377.2,12.5,180,-2.999999999999992,12507,104.6500000000007,1.0000,0.82946,0.0159,64,0,42
97,1390.9,12.1,180,-2.9999999999999964,12687,101.6500000000007,1.0000,0.82701,0.0149,64,0,42
98,1404.4,11.8,180,5.000000000000018,12867,106.65000000000072,1.0000,0.82455,0.0154,64,0,42
99,1418.6,12.6,180,-2.999999999999986,13047,103.65000000000073,1.0000,0.82210,0.0149,64,0,42
100,1431.0,10.8,133,6.350000000000018,13180,110.00000000000075,1.0000,0.82028,0.0152,64,1,43
101,1444.6,12.0,180,5.000000000000004,13360,115.00000000000075,1.0000,0.81783,0.0145,64,0,43
102,1458.6,12.1,180,1.0000000000000133,13540,116.00000000000077,1.0000,0.81537,0.0134,64,0,43
103,1472.5,12.3,180,1.000000000000006,13720,117.00000000000077,1.0000,0.81292,0.0149,64,0,43
104,1486.3,12.3,152,5.400000000000013,13872,122.40000000000077,1.0000,0.81085,0.0141,64,1,44
105,1494.7,6.7,98,6.100000000000004,13970,128.50000000000077,1.0000,0.80951,0.0146,64,1,45
106,1510.2,13.9,180,-2.999999999999997,14150,125.50000000000077,1.0000,0.80706,0.0133,64,0,45
107,1546.4,3.6,6,2.7,14156,128.20000000000076,1.0000,0.80697,0.0132,64,1,46
108,1560.2,12.1,180,-1.0000000000000018,14336,127.20000000000076,1.0000,0.80452,0.0135,64,0,46
109,1563.8,2.0,5,2.75,14341,129.95000000000076,1.0000,0.80445,0.0163,64,1,47
110,1570.5,5.0,50,2.4999999999999996,14391,132.45000000000076,1.0000,0.80377,0.0122,64,1,48
111,1584.5,12.3,180,5.000000000000004,14571,137.45000000000076,1.0000,0.80132,0.0132,64,0,48
112,1598.9,12.9,161,-1.049999999999983,14732,136.40000000000077,1.0000,0.79912,0.0137,64,1,49
