episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
60,850.8,12.6,180,-10.999999999999995,7819,-291.9500000000001,1.0000,0.89339,0.0163,64,0,27
61,864.9,12.5,180,-13.000000000000057,7999,-304.95000000000016,1.0000,0.89093,0.0173,64,0,27
62,869.8,3.1,22,-0.09999999999999742,8021,-305.0500000000002,1.0000,0.89063,0.0133,64,1,28
63,931.0,14.5,180,-6.999999999999985,8201,-312.0500000000002,1.0000,0.88818,0.0160,64,0,28
64,939.4,6.7,102,-2.0999999999999845,8303,-314.15000000000015,1.0000,0.88679,0.0156,64,1,29
65,952.8,11.7,122,-5.099999999999986,8425,-319.2500000000001,1.0000,0.88513,0.0161,64,1,30
66,960.9,6.4,70,3.5000000000000044,8495,-315.7500000000001,1.0000,0.88417,0.0156,64,1,31
67,969.8,7.1,80,-2.9999999999999867,8575,-318.7500000000001,1.0000,0.88308,0.0155,64,1,32
68,983.7,12.3,180,-13.000000000000075,8755,-331.75000000000017,1.0000,0.88063,0.0158,64,0,32
69,997.3,11.9,180,-4.999999999999969,8935,-336.7500000000001,1.0000,0.87817,0.0154,64,0,32
70,1010.9,11.9,180,-9.000000000000014,9115,-345.7500000000001,1.0000,0.87572,0.0155,64,0,32
71,1025.2,12.6,180,-8.999999999999993,9295,-354.7500000000001,1.0000,0.87326,0.0156,64,0,32
72,1030.0,3.0,21,3.95,9316,-350.8000000000001,1.0000,0.87298,0.0161,64,1,33
73,1043.5,11.9,149,-2.449999999999994,9465,-353.2500000000001,1.0000,0.87094,0.0148,64,1,34
74,1057.7,12.4,180,-13.000000000000046,9645,-366.25000000000017,1.0000,0.86849,0.0147,64,0,34
75,1070.8,11.4,145,-0.24999999999999867,9790,-366.50000000000017,1.0000,0.86651,0.0143,64,1,35
76,1084.7,12.2,180,-15.000000000000068,9970,-381.5000000000002,1.0000,0.86406,0.0144,64,0,35
77,1096.8,10.4,149,-4.4499999999999815,10119,-385.9500000000002,1.0000,0.86203,0.0501,64,1,36
78,1152.1,13.0,172,-1.5999999999999721,10291,-387.5500000000002,1.0000,0.85968,0.0427,64,1,37
79,1163.1,9.3,110,-4.499999999999992,10401,-392.0500000000002,1.0000,0.85818,0.0383,64,1,38
80,1174.5,9.7,116,-2.7999999999999874,10517,-394.8500000000002,1.0000,0.85660,0.0329,64,1,39
81,1188.6,12.4,180,-13.000000000000046,10697,-407.85000000000025,1.0000,0.85414,0.0287,64,0,39
82,1200.7,10.4,128,-9.40000000000003,10825,-417.2500000000003,1.0000,0.85240,0.0278,64,1,40
83,1208.6,6.2,65,-0.2499999999999969,10890,-417.5000000000003,1.0000,0.85151,0.0253,64,1,41
84,1216.4,6.1,64,-4.1999999999999895,10954,-421.7000000000003,1.0000,0.85064,0.0257,64,1,42
85,1230.3,12.2,180,-8.999999999999993,11134,-430.7000000000003,1.0000,0.84818,0.0231,64,0,42
86,1244.5,12.5,180,-6.999999999999978,11314,-437.7000000000003,1.0000,0.84573,0.0208,64,0,42
87,1258.4,12.2,180,-6.999999999999974,11494,-444.7000000000003,1.0000,0.84327,0.0196,64,0,42
88,1272.4,12.3,180,-6.999999999999985,11674,-451.7000000000003,1.0000,0.84082,0.0190,64,0,42
89,1286.2,12.1,180,-10.999999999999993,11854,-462.7000000000003,1.0000,0.83837,0.0186,64,0,42
90,1295.5,7.6,90,0.5000000000000053,11944,-462.2000000000003,1.0000,0.83714,0.0170,64,1,43
91,1301.6,4.4,39,1.0499999999999992,11983,-461.15000000000026,1.0000,0.83661,0.0196,64,1,44
92,1315.5,12.1,180,-8.999999999999991,12163,-470.15000000000026,1.0000,0.83415,0.0172,64,0,44
93,1374.3,12.2,180,-6.999999999999985,12343,-477.15000000000026,1.0000,0.83170,0.0183,64,0,44
94,1388.8,12.7,180,-8.999999999999993,12523,-486.15000000000026,1.0000,0.82924,0.0171,64,0,44
95,1404.0,13.5,168,-11.400000000000048,12691,-497.5500000000003,1.0000,0.82695,0.0172,64,1,45
96,1418.2,12.5,180,-11.000000000000027,12871,-508.5500000000003,1.0000,0.82450,0.0162,64,0,45
97,1432.3,12.5,180,-8.999999999999986,13051,-517.5500000000003,1.0000,0.82204,0.0147,64,0,45
98,1446.3,12.3,180,-11.000000000000028,13231,-528.5500000000003,1.0000,0.81959,0.0159,64,0,45
99,1460.7,12.7,160,-4.99999999999998,13391,-533.5500000000003,1.0000,0.81741,0.0152,64,1,46
