episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,55.0,8.4,180,1.0000000000000142,180,1.0000000000000142,1.0000,0.99756,0.0888,64,0,0
2,63.0,6.4,72,3.399999999999998,252,4.400000000000013,1.0000,0.99658,0.1810,64,1,1
3,76.8,11.8,180,6.9999999999999405,432,11.399999999999952,1.0000,0.99412,0.1022,64,0,1
4,82.5,4.1,36,3.1999999999999997,468,14.599999999999952,1.0000,0.99363,0.0630,64,1,2
5,96.3,12.1,180,-0.9999999999999839,648,13.599999999999968,1.0000,0.99118,0.0618,64,0,2
6,99.7,1.8,3,2.85,651,16.449999999999967,1.0000,0.99114,0.0625,64,1,3
7,108.3,6.9,76,-0.7999999999999945,727,15.649999999999974,1.0000,0.99010,0.0457,64,1,4
8,119.3,9.4,119,11.050000000000018,846,26.699999999999992,1.0000,0.98848,0.0451,64,1,5
9,133.2,12.2,156,5.200000000000006,1002,31.9,1.0000,0.98635,0.0390,64,1,6
10,136.7,1.9,4,2.8000000000000003,1006,34.699999999999996,1.0000,0.98630,0.0285,64,1,7
11,150.6,12.3,180,-2.9999999999999885,1186,31.700000000000006,1.0000,0.98384,0.0386,64,0,7
12,164.2,12.0,180,-2.999999999999999,1366,28.700000000000006,1.0000,0.98139,0.0300,64,0,7
13,169.5,3.7,32,5.3999999999999995,1398,34.10000000000001,1.0000,0.98095,0.0348,64,1,8
14,183.5,12.4,180,-2.9999999999999862,1578,31.100000000000023,1.0000,0.97850,0.0259,64,0,8
15,197.4,12.3,180,-2.999999999999976,1758,28.100000000000048,1.0000,0.97604,0.0254,64,0,8
16,203.3,4.2,42,0.8999999999999995,1800,29.000000000000046,1.0000,0.97547,0.0268,64,1,9
17,217.5,12.6,180,-4.999999999999979,1980,24.000000000000068,1.0000,0.97301,0.0237,64,0,9
18,231.4,12.4,180,-1.000000000000003,2160,23.000000000000064,1.0000,0.97056,0.0236,64,0,9
19,290.2,13.5,180,3.000000000000017,2340,26.00000000000008,1.0000,0.96810,0.0229,64,0,9
20,299.4,7.6,90,8.5,2430,34.500000000000085,1.0000,0.96688,0.0217,64,1,10
21,313.1,12.1,180,-0.9999999999999974,2610,33.500000000000085,1.0000,0.96442,0.0220,64,0,10
22,327.1,12.4,180,-2.9999999999999867,2790,30.5000000000001,1.0000,0.96197,0.0201,64,0,10
23,332.6,3.8,33,5.35,2823,35.8500000000001,1.0000,0.96152,0.0194,64,1,11
24,340.9,6.7,79,1.0499999999999985,2902,36.9000000000001,1.0000,0.96044,0.0192,64,1,12
25,354.9,12.4,180,-4.999999999999993,3082,31.900000000000105,1.0000,0.95799,0.0209,64,0,12
26,368.8,12.3,180,-0.9999999999999998,3262,30.900000000000105,1.0000,0.95553,0.0187,64,0,12
27,376.4,6.0,64,3.799999999999999,3326,34.7000000000001,1.0000,0.95466,0.0184,64,1,13
28,390.4,12.4,180,-6.999999999999976,3506,27.700000000000127,1.0000,0.95220,0.0187,64,0,13
