episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
1,51.1,8.3,180,-8.999999999999993,180,-8.999999999999993,1.0000,0.99756,0.0806,64,0,0
2,65.4,12.8,180,-8.999999999999993,360,-17.999999999999986,1.0000,0.99510,0.1037,64,0,0
3,79.0,12.1,180,-8.999999999999993,540,-26.99999999999998,1.0000,0.99265,0.0618,64,0,0
4,93.2,12.5,180,-8.999999999999993,720,-35.99999999999997,1.0000,0.99020,0.0431,64,0,0
5,107.3,12.6,180,-8.999999999999993,900,-44.999999999999964,1.0000,0.98774,0.0366,64,0,0
6,121.3,12.4,180,-8.999999999999993,1080,-53.99999999999996,1.0000,0.98529,0.0291,64,0,0
7,128.0,5.1,54,0.3000000000000016,1134,-53.69999999999995,1.0000,0.98455,0.0336,64,1,1
8,142.2,12.7,180,-8.999999999999993,1314,-62.699999999999946,1.0000,0.98210,0.0274,64,0,1
9,156.2,12.2,180,-8.999999999999993,1494,-71.69999999999993,1.0000,0.97964,0.0271,64,0,1
10,170.0,12.2,180,-8.999999999999993,1674,-80.69999999999993,1.0000,0.97719,0.0217,64,0,1
11,181.5,10.0,124,-3.199999999999986,1798,-83.89999999999992,1.0000,0.97550,0.0219,64,1,2
12,195.6,12.5,180,-8.999999999999993,1978,-92.89999999999992,1.0000,0.97304,0.0206,64,0,2
13,202.6,5.4,57,0.15000000000000213,2035,-92.74999999999991,1.0000,0.97226,0.0178,64,1,3
14,257.4,13.8,180,-8.999999999999993,2215,-101.74999999999991,1.0000,0.96981,0.0190,64,0,3
15,266.5,7.5,115,-2.7499999999999876,2330,-104.4999999999999,1.0000,0.96824,0.0179,64,1,4
16,281.5,13.5,180,-8.999999999999993,2510,-113.49999999999989,1.0000,0.96579,0.0181,64,0,4
17,295.6,12.5,180,-8.999999999999993,2690,-122.49999999999989,1.0000,0.96333,0.0171,64,0,4
18,308.0,10.9,134,-3.699999999999984,2824,-126.19999999999987,1.0000,0.96150,0.0168,64,1,5
19,320.9,11.3,149,-4.4499999999999815,2973,-130.64999999999986,1.0000,0.95947,0.0151,64,1,6
20,335.1,12.6,159,-4.94999999999998,3132,-135.59999999999985,1.0000,0.95730,0.0152,64,1,7
21,348.5,11.9,180,-8.999999999999993,3312,-144.59999999999985,1.0000,0.95485,0.0146,64,0,7
22,352.0,1.9,2,2.9000000000000004,3314,-141.69999999999985,1.0000,0.95482,0.0109,64,1,8
23,366.2,12.7,180,-8.999999999999993,3494,-150.69999999999985,1.0000,0.95237,0.0139,64,0,8
24,380.6,12.8,180,-8.999999999999993,3674,-159.69999999999985,1.0000,0.94991,0.0150,64,0,8
25,391.6,9.5,116,-2.7999999999999874,3790,-162.49999999999983,1.0000,0.94833,0.0153,64,1,9
26,405.3,12.1,180,-8.999999999999993,3970,-171.49999999999983,1.0000,0.94588,0.0138,64,0,9
27,416.3,9.5,123,-3.149999999999986,4093,-174.6499999999998,1.0000,0.94420,0.0142,64,1,10
28,468.6,14.1,180,-8.999999999999993,4273,-183.6499999999998,1.0000,0.94174,0.0139,64,0,10
