episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size
64,949.6,2.8,18,0.982,8837,-344.83700000000016,100.0000,0.87951,0.0165,64
65,963.4,12.2,180,-10.180000000000025,9017,-355.01700000000017,100.0000,0.87705,0.0159,64
66,976.8,11.8,180,-14.179999999999954,9197,-369.1970000000001,100.0000,0.87460,0.0178,64
67,985.8,7.3,81,-1.0809999999999937,9278,-370.27800000000013,100.0000,0.87349,0.0156,64
68,999.3,11.9,180,-10.179999999999968,9458,-380.4580000000001,100.0000,0.87104,0.0161,64
69,1013.4,12.5,180,-8.179999999999966,9638,-388.63800000000003,100.0000,0.86858,0.0156,64
70,1027.5,12.5,180,-2.1799999999999806,9818,-390.81800000000004,100.0000,0.86613,0.0159,64
71,1041.0,11.9,180,-6.180000000000031,9998,-396.99800000000005,100.0000,0.86368,0.0145,64
72,1054.9,12.2,180,-6.180000000000041,10178,-403.1780000000001,100.0000,0.86122,0.0451,64
73,1110.1,11.8,180,-10.180000000000023,10358,-413.3580000000001,100.0000,0.85877,0.0345,64
74,1123.9,12.2,180,-6.180000000000027,10538,-419.5380000000001,100.0000,0.85631,0.0307,64
75,1137.4,11.9,149,-3.1490000000000404,10687,-422.6870000000002,100.0000,0.85428,0.0269,64
76,1146.4,7.4,85,-1.084999999999995,10772,-423.77200000000016,100.0000,0.85312,0.0244,64
77,1157.3,9.2,111,-1.1109999999999922,10883,-424.88300000000015,100.0000,0.85161,0.0238,64
78,1171.1,12.2,180,-10.17999999999994,11063,-435.0630000000001,100.0000,0.84915,0.0237,64
79,1186.0,13.3,172,-7.172000000000005,11235,-442.2350000000001,100.0000,0.84681,0.0208,64
80,1200.1,12.4,180,-4.18000000000004,11415,-446.4150000000002,100.0000,0.84435,0.0207,64
81,1206.0,4.3,40,-3.0399999999999987,11455,-449.4550000000002,100.0000,0.84381,0.0179,64
82,1217.1,9.5,117,-9.116999999999974,11572,-458.5720000000002,100.0000,0.84221,0.0190,64
83,1224.4,5.7,61,-1.0609999999999937,11633,-459.63300000000015,100.0000,0.84138,0.0186,64
84,1237.0,11.0,137,-5.137000000000024,11770,-464.77000000000015,100.0000,0.83951,0.0180,64
85,1250.6,11.9,180,-4.180000000000032,11950,-468.95000000000016,100.0000,0.83706,0.0182,64
86,1264.5,12.3,180,-6.18000000000003,12130,-475.13000000000017,100.0000,0.83460,0.0174,64
87,1320.7,12.2,180,-6.180000000000026,12310,-481.3100000000002,100.0000,0.83215,0.0163,64
88,1334.6,12.3,180,-2.179999999999991,12490,-483.4900000000002,100.0000,0.82969,0.0164,64
89,1348.7,12.4,180,-6.180000000000047,12670,-489.67000000000024,100.0000,0.82724,0.0165,64
90,1362.7,12.3,180,-8.180000000000016,12850,-497.85000000000025,100.0000,0.82478,0.0165,64
91,1376.0,11.7,180,-16.180000000000028,13030,-514.0300000000003,100.0000,0.82233,0.0159,64
92,1390.1,12.5,180,-0.18000000000000013,13210,-514.2100000000003,100.0000,0.81987,0.0158,64
93,1404.4,12.7,180,-0.18000000000000013,13390,-514.3900000000002,100.0000,0.81742,0.0151,64
94,1418.3,12.2,180,-2.1799999999999815,13570,-516.5700000000002,100.0000,0.81497,0.0145,64
95,1424.3,4.3,42,0.958,13612,-515.6120000000002,100.0000,0.81439,0.0141,64
96,1433.9,8.1,92,-1.0919999999999948,13704,-516.7040000000002,100.0000,0.81314,0.0140,64
97,1448.0,12.5,180,-4.18000000000003,13884,-520.8840000000002,100.0000,0.81068,0.0144,64
98,1451.6,2.0,5,0.995,13889,-519.8890000000002,100.0000,0.81062,0.0115,64
99,1465.2,12.0,180,-4.179999999999995,14069,-524.0690000000002,100.0000,0.80816,0.0150,64
100,1514.6,5.8,62,-5.062000000000015,14131,-529.1310000000002,100.0000,0.80732,0.0122,64
101,1520.8,4.6,44,-1.043999999999997,14175,-530.1750000000002,100.0000,0.80672,0.0163,64
102,1534.5,12.1,180,-4.1800000000000175,14355,-534.3550000000002,100.0000,0.80426,0.0152,64
103,1541.8,5.6,59,-1.0589999999999984,14414,-535.4140000000002,100.0000,0.80346,0.0139,64
104,1555.6,12.2,180,-10.179999999999971,14594,-545.5940000000002,100.0000,0.80100,0.0139,64
105,1561.6,4.4,66,-5.066000000000017,14660,-550.6600000000002,100.0000,0.80010,0.0142,64
106,1576.7,13.4,180,-16.18000000000004,14840,-566.8400000000003,100.0000,0.79765,0.0153,64
107,1590.8,12.5,180,-6.1800000000000335,15020,-573.0200000000003,100.0000,0.79519,0.0144,64
108,1604.8,12.4,180,-6.180000000000055,15200,-579.2000000000004,100.0000,0.79274,0.0136,64
109,1610.1,3.7,32,-5.032000000000001,15232,-584.2320000000004,100.0000,0.79230,0.0164,64
110,1613.7,2.0,5,0.995,15237,-583.2370000000004,100.0000,0.79223,0.0146,64
111,1627.5,12.2,180,-8.179999999999986,15417,-591.4170000000004,100.0000,0.78978,0.0151,64
112,1634.5,5.4,55,0.945,15472,-590.4720000000003,100.0000,0.78903,0.0155,64
113,1643.5,7.3,85,-7.084999999999984,15557,-597.5570000000004,100.0000,0.78787,0.0150,64
114,1657.2,12.1,180,-6.1800000000000495,15737,-603.7370000000004,100.0000,0.78541,0.0150,64
115,1671.2,12.4,180,-2.179999999999998,15917,-605.9170000000004,100.0000,0.78296,0.0145,64
116,1679.0,6.2,67,-3.067000000000006,15984,-608.9840000000004,100.0000,0.78205,0.0142,64
117,1685.5,4.8,48,-3.0479999999999987,16032,-612.0320000000004,100.0000,0.78139,0.0155,64
118,1747.3,12.2,180,-8.17999999999994,16212,-620.2120000000003,100.0000,0.77894,0.0146,64
119,1761.5,12.5,180,-6.179999999999999,16392,-626.3920000000003,100.0000,0.77648,0.0143,64
120,1775.2,12.1,180,-6.180000000000028,16572,-632.5720000000003,100.0000,0.77403,0.0137,64
121,1789.3,12.4,153,-1.1529999999999836,16725,-633.7250000000004,100.0000,0.77194,0.0139,64
122,1794.0,3.1,21,0.979,16746,-632.7460000000003,100.0000,0.77166,0.0171,64
123,1798.9,3.3,48,0.952,16794,-631.7940000000003,100.0000,0.77100,0.0139,64
124,1813.9,13.3,180,-14.17999999999994,16974,-645.9740000000003,100.0000,0.76855,0.0138,64
125,1827.6,12.2,180,-10.179999999999987,17154,-656.1540000000002,100.0000,0.76609,0.0138,64
126,1836.3,7.0,81,-5.081000000000018,17235,-661.2350000000002,100.0000,0.76499,0.0149,64
127,1850.4,12.4,180,-2.179999999999986,17415,-663.4150000000002,100.0000,0.76253,0.0143,64
128,1862.5,10.5,129,-9.129000000000024,17544,-672.5440000000002,100.0000,0.76077,0.0153,64
129,1869.7,5.6,61,-5.061000000000015,17605,-677.6050000000002,100.0000,0.75994,0.0135,64
130,1883.2,11.8,180,-10.180000000000028,17785,-687.7850000000003,100.0000,0.75749,0.0150,64
131,1897.1,12.3,180,-8.179999999999984,17965,-695.9650000000003,100.0000,0.75503,0.0138,64
132,1911.0,12.3,180,-6.18000000000004,18145,-702.1450000000003,100.0000,0.75258,0.0145,64
133,1960.5,6.0,66,-1.065999999999998,18211,-703.2110000000004,100.0000,0.75168,0.0151,64
134,1974.5,12.3,180,-10.179999999999934,18391,-713.3910000000003,100.0000,0.74922,0.0146,64
135,1981.4,5.3,55,-3.0549999999999993,18446,-716.4460000000003,100.0000,0.74847,0.0148,64
136,1989.8,6.8,74,-3.0739999999999923,18520,-719.5200000000002,100.0000,0.74746,0.0148,64
137,2003.6,12.2,180,-6.180000000000049,18700,-725.7000000000003,100.0000,0.74501,0.0146,64
138,2010.1,4.9,47,-1.0469999999999953,18747,-726.7470000000003,100.0000,0.74437,0.0160,64
